Lemma	SF	Analysis	Segmentation	Freq
avaruustutkimuskeskus	avaruustutkimuskeskus	avara_A-DAUS-tutkimus_N-keskus_N	avar-us-tutkimus-keskus	1
avaruusviraston	avaruusviraston	avara_A-DAUS-virasto_N-GEN	avar-us-virasto-n	1
avausraita	avausraita	avata_V-DVUS-raita_N	ava-us-raita	1
avuntarjouksen	avuntarjouksen	apu_N-GEN-tarjous_N	avu-n-tarjoukse	1
avustajakoiran	avustajakoiran	avusta_V-DVJA-koira_N-GEN	avusta-ja-koira-n	1
ayrshiren	ayrshiren	ayrshire_N-GEN	ayrshire-n	1
ballistisia	ballistisia	balisti_N-DNINEN-PL-PTV	balist-is-i-a	1
barbados	barbados	barbados_N	barbados	1
barbadosissa	barbadosissa	barbados_N-INE	barbadosi-sa	1
beetakaroteenilla	beetakaroteenilla	beta_N-karoteni_N-ADE	beta-karoteni-la	1
berberiä	berberiä	berberi_N-PTV	berberi-ä	1
boori	boori	bori_N	bori	1
booriyhdisteet	booriyhdisteet	bori_N-yhdiste_N-PL	bori-yhdiste-t	1
bratislavansuurlähettiläs	bratislavansuurlähettiläs	bratislava_N-GEN-sur-lähetiläs_N	bratislava-n-sur-lähetiläs	1
britannialaisten	britannialaisten	britania_N-DNLAINEN-PL-GEN	britania-lais-t-en	1
brittikonsultti	brittikonsultti	briti_N-konsulti_N	briti-konsulti	1
brittisotilaista	brittisotilaista	briti_N-sotilas_N-PL-ELA	briti-sotila-i-sta	1
bryssel	bryssel	brysel_N	brysel	1
budjettiluonnoksessa	budjettiluonnoksessa	budjeti_N-luonos_N-INE	budjeti-luonokse-sa	1
budjettiriihistä	budjettiriihistä	budjeti_N-rihi_N-PL-ELA	budjeti-rih-i-stä	1
budjettivaroista	budjettivaroista	budjeti_N-vara_N-PL-ELA	budjeti-varo-i-sta	1
collins	collins	colins_N	colins	1
collinsin	collinsin	colins_N-GEN	colinsi-n	1
countrybändin	countrybändin	country_N-bändi_N-GEN	country-bändi-n	1
countrylaulaja	countrylaulaja	country_N-laula_V-DVJA	country-laula-ja	1
daniel	daniel	daniel_N	daniel	1
dealer	dealer	dealer_N	dealer	1
delegaationsa	delegaationsa	delegatio_N-3SGPL_nsA	delegatio-nsa	1
demarilähteiden	demarilähteiden	demari_N-lähde_N-PL-GEN	demari-lähte-i-den	1
diplomaattiseksi	diplomaattiseksi	diplomati_N-DNINEN-TRA	diplomat-ise-ksi	1
dollarinippua	dollarinippua	dolari_N-nipu_N-PTV	dolari-nipu-a	1
dortmundissa	dortmundissa	dortmund_N-INE	dortmundi-sa	1
dramaturgialinjalle	dramaturgialinjalle	dramaturgi_N-PTV-linja_N-AL-dramaturgia_N	dramaturgi-a-linja-le-dramaturgia	1
dramaturgiassa	dramaturgiassa	dramaturgia_N-INE	dramaturgia-sa	1
dramaturgit	dramaturgit	dramaturgi_N-PL	dramaturgi-t	1
dxkuuntelija	dxkuuntelija	dx-kunela_V-DVJA	dx-kunteli-ja	1
edellytettyjen	edellytettyjen	edelytä_V-PSPCP2-PL-GEN	edelyte-ty-j-en	1
eduskuntaryhmän	eduskuntaryhmän	edus_N-kunta_N-ryhmä_N-GEN	edus-kunta-ryhmä-n	1
eduskuntasihteerin	eduskuntasihteerin	edus_N-kunta_N-sihteri_N-GEN	edus-kunta-sihteri-n	1
eduskuntavaaleja	eduskuntavaaleja	edus_N-kunta_N-vali_N-PL-PTV	edus-kunta-vale-j-a	1
edustajanaan	edustajanaan	etu_N-ELA-jana_N-ILL-edus_N-PTV	edu-sta-jana-an-edus-ta	1
edustuskysymyksessä	edustuskysymyksessä	edusta_V-DVUS-kysymys_N-INE	edust-us-kysymykse-sä	1
efedriinin	efedriinin	efedrini_N-GEN	efedrini-n	1
ehdolla	ehdolla	ehto_N-ADE	ehdo-la	1
ehdottomampia	ehdottomampia	ehto_N-DNTON-CMP-PL-PTV	ehdo-toma-mp-i-a	1
ehdotuksiamme	ehdotuksiamme	ehdota_V-DVUS-PL-PTV-1PL	ehdot-uks-i-a-me	1
eikielellisiä	eikielellisiä	ei_PFX-kieli_N-DNLINEN-PL-PTV	ei-kiele-lis-i-ä	1
eilat	eilat	eila_N-PL	eila-t	1
einojuhani	einojuhani	eino_N-juha_N-1SG	eino-juha-ni	1
eitoivottavaan	eitoivottavaan	ei_PFX-toivoa_V-DVTA-PCP1-ILL	ei-toivo-ta-va-an	1
ekblomin	ekblomin	ekblom_N-GEN	ekblomi-n	1
eksotiikkaakin	eksotiikkaakin	eksotika_N-PTV-kin_CLI	eksotika-a-kin	1
elbe	elbe	elbe_N	elbe	1
elbejoen	elbejoen	elbe_N-joki_N-GEN	elbe-joe-n	1
eleensä	eleensä	ele_N-3SGPL_nsA	ele-nsä	1
elementtityö	elementtityö	elementi_N-työ_N	elementi-työ	1
elinalueeltaan	elinalueeltaan	elin_N-alue_N-ABL-3SGPL	elin-alue-lta-an	1
elinkeinotuen	elinkeinotuen	elin_N-keino_N-tuki_N-GEN	elin-keino-tue-n	1
eliölajeille	eliölajeille	eliö_N-laji_N-PL-AL	eliö-laje-i-le	1
elokuvaklassikon	elokuvaklassikon	elo_N-kuva_N-klasiko_N-GEN	elo-kuva-klasiko-n	1
elokuvarahasto	elokuvarahasto	elo_N-kuva_N-rahasto_N	elo-kuva-rahasto	1
elvis	elvis	elvis_N	elvis	1
elvyttävistä	elvyttävistä	elpyä_V-DVTA-PCP1-PL-ELA	elvy-tä-v-i-stä	1
elvytyskampanjalla	elvytyskampanjalla	elpyä_V-DVTA-DVUS-kampanja_N-ADE	elvy-t-ys-kampanja-la	1
elämyspuistossa	elämyspuistossa	elämys_N-puisto_N-INE	elämys-puisto-sa	1
elämänkertoja	elämänkertoja	elä_V-DVMA-GEN-kerta_N-PL-PTV	elä-mä-n-kerto-j-a	1
elämänkäsitykseen	elämänkäsitykseen	elä_V-DVMA-GEN-käsitys_N-ILL-elämä_N	elä-mä-n-käsitykse-en-elämä	1
elämäntapaan	elämäntapaan	elä_V-DVMA-GEN-tapa_N-ILL-elämä_N	elä-mä-n-tapa-an-elämä	1
elämässänne	elämässänne	elä_V-DVMA-INE-2PL-elämä_N	elä-mä-sä-ne-elämä	1
elämöineet	elämöineet	elämöidä_V-PCP2-PL	elämöi-ne-t	1
emutaantuman	emutaantuman	emu_N-tantuma_N-GEN	emu-tantuma-n	1
emäkiinteistön	emäkiinteistön	emä_N-kinteistö_N-GEN	emä-kinteistö-n	1
energiantuottajana	energiantuottajana	energia_N-GEN-tuota_V-DVJA-ES	energia-n-tuota-ja-na	1
ennakkoveikkailut	ennakkoveikkailut	enako_N-veikata_V-DVILE-DVU-PL	enako-veika-il-u-t	1
ennakkovoitelua	ennakkovoitelua	enako_N-voidela_V-DVU-PTV	enako-voitel-u-a	1
ennennäkemättömäksi	ennennäkemättömäksi	enen-näkemätön_A-TRA	enen-näkemätömä-ksi	1
eno	eno	eno_N	eno	1
epiteetti	epiteetti	epiteti_N	epiteti	1
epäsopivana	epäsopivana	epäsopia_V-PCP1-ES	epäsopi-va-na	1
epäsuotuiset	epäsuotuiset	epäsuotuinen_A-PL	epäsuotuise-t	1
epätäsmälliseksi	epätäsmälliseksi	epätäsmälinen_A-TRA	epätäsmälise-ksi	1
epätäsmällisen	epätäsmällisen	epätäsmälinen_A-GEN	epätäsmälise-n	1
epäuskottavan	epäuskottavan	epäuskoa_V-PS-PCP1-GEN	epäusko-ta-va-n	1
erikoisjoukot	erikoisjoukot	erikoinen_A-jouko_N-PL	erikois-jouko-t	1
erikoiskomission	erikoiskomission	erikoinen_A-komisio_N-GEN	erikois-komisio-n	1
erikoisnuuskan	erikoisnuuskan	erikoinen_A-nuska_N-GEN	erikois-nuska-n	1
erikoispalveluissa	erikoispalveluissa	erikoinen_A-palvela_V-DVU-PL-INE	erikois-palvel-u-i-sa	1
erikoisryhmille	erikoisryhmille	erikoinen_A-ryhmä_N-PL-AL	erikois-ryhm-i-le	1
erikoisvarusteet	erikoisvarusteet	erikoinen_A-varuste_N-PL	erikois-varuste-t	1
erillisinäkin	erillisinäkin	erilinen_A-PL-ES-kin_CLI	erilis-i-nä-kin	1
erimielisyytemme	erimielisyytemme	eri_A-mielinen_A-DAUS-1PL	eri-mielis-yte-me	1
eripituisina	eripituisina	eri_A-pituinen_A-PL-ES	eri-pituis-i-na	1
erityishuippukokouksesta	erityishuippukokouksesta	erityinen_A-huipu_N-kokous_N-ELA	erityis-huipu-kokoukse-sta	1
erityistehtäviin	erityistehtäviin	erityinen_A-tehtävä_N-PL-ILL	erityis-tehtäv-i-in	1
erkaantuivat	erkaantuivat	erkantua_V-PAST-PL3	erkantu-i-vat	1
erorahaston	erorahaston	ero_N-rahasto_N-GEN	ero-rahasto-n	1
erotetulla	erotetulla	erota_V-PSPCP2-ADE	erote-tu-la	1
erotumme	erotumme	erota_V-DVU-PL1	erot-u-me	1
eräkämppä	eräkämppä	erä_N-kämpä_N	erä-kämpä	1
esiintymispaikkaa	esiintymispaikkaa	esintyä_V-DVMINEN-paika_N-PTV	esinty-mis-paika-a	1
esittämispaikka	esittämispaikka	esitä_V-DVMINEN-paika_N	esitä-mis-paika	1
estepuolellakin	estepuolellakin	este_N-puoli_N-ADE-kin_CLI	este-puole-la-kin	1
estäjä	estäjä	estä_V-DVJA	estä-jä	1
estämistä	estämistä	estä_V-DVMA-PL-ELA	estä-m-i-stä	1
etsintäkuulutukset	etsintäkuulutukset	etsiä_V-DVNTA-kulua_V-DVTA-DVUS	etsi-ntä-kulu-t-ukse	1
etutassujen	etutassujen	etu_N-tasu_N-PL-GEN	etu-tasu-j-en	1
etutukivarsi	etutukivarsi	etu_N-tuki_N-varsi_N	etu-tuki-varsi	1
etuvetoisella	etuvetoisella	etu_N-vetoinen_A-ADE	etu-vetoise-la	1
etäopettaja	etäopettaja	etäopeta_V-DVJA	etäopeta-ja	1
euedustus	euedustus	eu-edusta_V-DVUS	eu-edust-us	1
eumaatalouden	eumaatalouden	eu-ma_N-talous_N-GEN	eu-ma-taloude-n	1
eurokuluttajina	eurokuluttajina	euro_N-kulua_V-DVTA-DVJA-PL-ES-eurokulua_V	euro-kulu-ta-j-i-na-eurokulu	1
eurooppasopimuksissa	eurooppasopimuksissa	europa_N-sopimus_N-PL-INE	europa-sopimuks-i-sa	1
euroseteleiden	euroseteleiden	euro_N-seteli_N-PL-GEN-euroseteli_N	euro-setele-i-den-eurosetele	1
euroveteraani	euroveteraani	euro_N-veterani_N-euroveterani_N	euro-veterani-euroveterani	1
filmikäsikirjoittajat	filmikäsikirjoittajat	filmi_N-käsi_N-kirjoita_V-DVJA-PL	filmi-käsi-kirjoita-ja-t	1
filosofioista	filosofioista	filosofia_N-PL-ELA	filosofio-i-sta	1
filosofoiva	filosofoiva	filosofoida_V-PCP1	filosofoi-va	1
finaalikamppailussa	finaalikamppailussa	finali_N-kampata_V-DVILE-DVU-INE	finali-kampa-il-u-sa	1
finanssikeskus	finanssikeskus	finansi_N-keskus_N	finansi-keskus	1
finanssikonserni	finanssikonserni	finansi_N-konserni_N	finansi-konserni	1
finanssileirit	finanssileirit	finansi_N-leiri_N-PL	finansi-leiri-t	1
flamencoperinteen	flamencoperinteen	flamenco_N-perine_N-GEN	flamenco-perinte-n	1
fmkartta	fmkartta	fm-karsi_N-PTV	fm-kart-ta	1
fmtutkintoa	fmtutkintoa	fm-tutkinto_N-PTV	fm-tutkinto-a	1
folk	folk	folk_N	folk	1
foodissa	foodissa	fod_N-INE	fodi-sa	1
foorumille	foorumille	forumi_N-AL	forumi-le	1
formulamaailmassa	formulamaailmassa	formula_N-ma_N-ilma_N-INE	formula-ma-ilma-sa	1
fortissimo	fortissimo	fortisimo_ADV	fortisimo	1
fortissimossa	fortissimossa	fortisimo_N-INE	fortisimo-sa	1
galluppien	galluppien	galup_N-piki_N-GEN	galup-pie-n	1
haasteltu	haasteltu	hasta_V-DVELE-PSPCP2	hast-el-tu	1
hagströmien	hagströmien	hagström_N-PL-GEN	hagström-i-en	1
hagströmin	hagströmin	hagström_N-GEN	hagströmi-n	1
hajamielisyyteen	hajamielisyyteen	haja_PFX-mielinen_A-DAUS-ILL	haja-mielis-yte-en	1
hajanäytteitä	hajanäytteitä	haja_PFX-näyte_N-PL-PTV	haja-näyte-i-tä	1
hajasijoitetut	hajasijoitetut	haja_PFX-sijoita_V-PSPCP2-PL-hajasijoita_V	haja-sijoite-tu-t-hajasijoite	1
hakemuksesi	hakemuksesi	hakemus_N-2SG	hakemukse-si	1
hakuominaisuuksia	hakuominaisuuksia	haku_N-ominainen_A-DAUS-PL-PTV	haku-ominais-uks-i-a	1
hallinnonaloja	hallinnonaloja	halinto_N-GEN-ala_N-PL-PTV	halino-n-alo-j-a	1
hallinnonhaarat	hallinnonhaarat	halinto_N-GEN-hara_N-PL	halino-n-hara-t	1
hallintoihmisiä	hallintoihmisiä	halinto_N-ihminen_N-PL-PTV	halinto-ihmis-i-ä	1
hallitusremonttia	hallitusremonttia	halitus_N-remonti_N-PTV	halitus-remonti-a	1
halpamyyntiä	halpamyyntiä	halpa_A-mydä_V-DVNTI-PTV	halpa-my-nti-ä	1
halpenemisena	halpenemisena	halveta_V-DVMINEN-ES	halpene-mise-na	1
halventaisi	halventaisi	halveta_V-DVNTA-COND	halve-nta-isi	1
hameeseen	hameeseen	hame_N-ILL_sIn	hame-sen	1
hameisiin	hameisiin	hame_N-PL-ILL_sIn	hame-i-sin	1
hammashoitoon	hammashoitoon	hamas_N-hoito_N-ILL	hamas-hoito-on	1
hammaskruunu	hammaskruunu	hamas_N-krunu_N	hamas-krunu	1
hampaissaan	hampaissaan	hamas_N-PL-INE-3SGPL	hampa-i-sa-an	1
hankaliinkin	hankaliinkin	hankala_A-PL-ILL-kin_CLI	hankal-i-in-kin	1
hankintaansa	hankintaansa	hankia_V-DVNTA-ILL-3SGPL_nsA	hanki-nta-a-nsa	1
hankintatukku	hankintatukku	hankia_V-DVNTA-tuku_N	hanki-nta-tuku	1
hankkia	hankkia	hankia_V-INF1	hanki-a	1
hankkimia	hankkimia	hankia_V-DVMA-PL-PTV	hanki-m-i-a	1
hanskojen	hanskojen	hanska_N-PL-GEN	hansko-j-en	1
harkitsemattomia	harkitsemattomia	harkita_V-DVMATON-PL-PTV	harkitse-matom-i-a	1
harminaihe	harminaihe	harmi_N-GEN-aihe_N	harmi-n-aihe	1
harmittomammasta	harmittomammasta	harmi_N-DNTON-CMP-ELA	harmi-toma-ma-sta	1
harrastuksessaan	harrastuksessaan	harasta_V-DVUS-INE-3SGPL	harast-ukse-sa-an	1
haudutettu	haudutettu	hautua_V-DVTA-PSPCP2	haudu-te-tu	1
haudutetulla	haudutetulla	hautua_V-DVTA-PSPCP2-ADE	haudu-te-tu-la	1
haurastumiseen	haurastumiseen	haurastua_V-DVMINEN-ILL	haurastu-mise-en	1
haydnista	haydnista	haydn_N-ELA	haydni-sta	1
hedelmäeristä	hedelmäeristä	hedelmä_N-erä_N-PL-ELA	hedelmä-er-i-stä	1
heikkoselta	heikkoselta	heikonen_N-ABL	heikose-lta	1
heikkouksistaan	heikkouksistaan	heiko_A-DAUS-PL-ELA-3SGPL	heiko-uks-i-sta-an	1
heinäkankaantie	heinäkankaantie	he_PRON-ES-kangas_N-GEN-tie_N-heinä_N	hei-nä-kanka-n-tie-heinä	1
heinäpään	heinäpään	he_PRON-ES-pä_N-GEN-heinä_N	hei-nä-pä-n-heinä	1
hellepäivä	hellepäivä	hele_N-päivä_N	hele-päivä	1
helmassa	helmassa	helma_N-INE	helma-sa	1
helppoudelle	helppoudelle	helpo_A-DAUS-AL	helpo-ude-le	1
helppoutta	helppoutta	helpo_A-DAUS-PTV	helpo-ut-ta	1
hempeämielisiä	hempeämielisiä	hempeä_A-mielinen_A-PL-PTV	hempeä-mielis-i-ä	1
hengenvaarallisessa	hengenvaarallisessa	henki_N-GEN-vara_N-DNLINEN-INE	henge-n-vara-lise-sa	1
henkilöhaastatteluilla	henkilöhaastatteluilla	henkilö_N-hasta_V-DVTA-DVELE-DVU-PL-ADE	henkilö-hasta-t-el-u-i-la	1
henkivakuutusyhtiö	henkivakuutusyhtiö	henki_N-vakuta_V-DVUS-yhtiö_N	henki-vakut-us-yhtiö	1
henkäyksen	henkäyksen	henkäys_N-GEN	henkäykse-n	1
hennoissa	hennoissa	hena_N-PL-INE	heno-i-sa	1
herkistyykin	herkistyykin	herkistä_V-DVU	herkist-y	1
herraseuraa	herraseuraa	hera_N-seura_N-PTV	hera-seura-a	1
heteroseksuaalit	heteroseksuaalit	heteroseksuali_N-PL	heteroseksuali-t	1
hetkellinen	hetkellinen	hetki_N-DNLINEN	hetke-linen	1
hidastusmutkaa	hidastusmutkaa	hidasta_V-DVUS-mutka_N-PTV	hidast-us-mutka-a	1
hienostuneeksi	hienostuneeksi	hienostua_V-PCP2-TRA	hienostu-ne-ksi	1
hienostuneessa	hienostuneessa	hienostua_V-PCP2-INE	hienostu-ne-sa	1
hienostuneesti	hienostuneesti	hienostua_V-PCP2-MAN	hienostu-ne-sti	1
hienosäätöhommaa	hienosäätöhommaa	hieno_A-sätö_N-homa_N-PTV	hieno-sätö-homa-a	1
hiihtotoivot	hiihtotoivot	hihto_N-toivo_N-PL	hihto-toivo-t	1
hiiriin	hiiriin	hiri_N-PL-ILL	hir-i-in	1
hiirivetoisen	hiirivetoisen	hiri_N-vetoinen_A-GEN	hiri-vetoise-n	1
hingusta	hingusta	hinku_N-ELA	hingu-sta	1
hirsiperinnekoulun	hirsiperinnekoulun	hirsi_N-perine_N-koulu_N-GEN	hirsi-perine-koulu-n	1
hoikkuuden	hoikkuuden	hoika_A-DAUS-GEN	hoik-ude-n	1
hoikkuudesta	hoikkuudesta	hoika_A-DAUS-ELA	hoik-ude-sta	1
hokemia	hokemia	hokea_V-DVMA-PL-PTV	hoke-m-i-a	1
hongalle	hongalle	honka_N-AL	honga-le	1
honkahovin	honkahovin	honka_N-hovi_N-GEN	honka-hovi-n	1
hosumista	hosumista	hosua_V-DVMA-PL-ELA	hosu-m-i-sta	1
hotelliinsa	hotelliinsa	hoteli_N-ILL-3SGPL_nsA	hoteli-i-nsa	1
houkuttimiin	houkuttimiin	houkutin_N-PL-ILL	houkutim-i-in	1
housun	housun	housu_N-GEN	housu-n	1
housunlahkeet	housunlahkeet	housu_N-GEN-lahje_N-PL	housu-n-lahke-t	1
hovinheimon	hovinheimon	hovi_N-GEN-heimo_N	hovi-n-heimo	1
huippukokouksia	huippukokouksia	huipu_N-kokous_N-PL-PTV	huipu-kokouks-i-a	1
huippukorkeiden	huippukorkeiden	huipu_N-korkea_A-PL-GEN	huipu-korke-i-den	1
huippuravureita	huippuravureita	huipu_N-ravuri_N-PL-PTV	huipu-ravure-i-ta	1
hulttio	hulttio	hultio_N	hultio	1
hulttiot	hulttiot	hultio_N-PL	hultio-t	1
humoreskia	humoreskia	humoreski_N-PTV	humoreski-a	1
humussa	humussa	humu_N-INE	humu-sa	1
huntua	huntua	huntu_N-PTV	huntu-a	1
huojuivat	huojuivat	huojua_V-PAST-PL3	huoju-i-vat	1
huolellisuudella	huolellisuudella	huoli_N-DNLINEN-DAUS-ADE	huole-lis-ude-la	1
huolisi	huolisi	huolia_V-COND	huol-isi	1
huoltotöihin	huoltotöihin	huolto_N-työ_N-PL-ILL	huolto-tö-i-hin	1
huudollaan	huudollaan	huto_N-ADE-3SGPL	hudo-la-an	1
huulesta	huulesta	huli_N-ELA	hule-sta	1
huulisyöpää	huulisyöpää	huli_N-syöpä_N-PTV	huli-syöpä-ä	1
huumenatsien	huumenatsien	hume_N-natsi_N-PL-GEN	hume-nats-i-en	1
hylsyihin	hylsyihin	hylsy_N-PL-ILL	hylsy-i-hin	1
hypoteettisia	hypoteettisia	hypotetinen_A-PL-PTV	hypotetis-i-a	1
hyvitettävä	hyvitettävä	hyvitä_V-PS-PCP1	hyvite-tä-vä	1
hyvityksinä	hyvityksinä	hyvitä_V-DVUS-PL-ES	hyvit-yks-i-nä	1
hyy:n	hyy:n	GEN	n	1
häiriintyneessä	häiriintyneessä	häirintyä_V-PCP2-INE	häirinty-ne-sä	1
hälytystehtävä	hälytystehtävä	hälytä_V-DVUS-tehtävä_N	hälyt-ys-tehtävä	1
