Lemma	SF	Analysis	Segmentation	Freq
ammattitutkintolaki	ammattitutkintolaki	ammatti_N-tutkinto_N-laki_N	ammatti-tutkinto-laki	1
analysoidut	analysoidut	analysoida_V-DVTU-SG2	analysoi-du-t	1
ansaitsevatko	ansaitsevatko	ansaita_V-PCP1-PL-kO_CLI	ansaitse-va-t-ko	1
antamattomuus	antamattomuus	antaa_V-DVMATON-DAUUS	anta-mattom-uus	1
antikvariaattinsa	antikvariaattinsa	antikvariaatti_N-3SGPL	antikvariaatti-nsa	1
anttilainen	anttilainen	anttilainen_N	anttilainen	1
anttilaisen	anttilaisen	anttilainen_N-GEN	anttilaise-n	1
aoikeuksia	aoikeuksia	a-oikea_A-DAUS-PL	a-oike-uks-i	1
arabiemiirikunnissa	arabiemiirikunnissa	arabi_N-emiiri_N-kunta_N-PL-INE	arabi-emiiri-kunn-i-ssa	1
arajan	arajan	a-raja_N-GEN	a-raja-n	1
arkityylissä	arkityylissä	arki_N-tyyli_N-INE	arki-tyyli-ssä	1
artosta	artosta	arto_N-ELA	arto-sta	1
arvoasetelman	arvoasetelman	arvo_N-asetelma_N-GEN	arvo-asetelma-n	1
arvomerkkinsä	arvomerkkinsä	arvo_N-merkki_N-3SGPL	arvo-merkki-nsä	1
arvonmääritys	arvonmääritys	arvo_N-GEN-määrittää_V-DVUS	arvo-n-määrit-ys	1
arvosanojensa	arvosanojensa	arvo_N-sana_N-PL-GEN-3SGPL	arvo-sano-j-e-nsa	1
arvostelijoilla	arvostelijoilla	arvostella_V-DVJA-PL-ADE	arvosteli-jo-i-lla	1
arvostellutta	arvostellutta	arvostella_V-PSSPCP2-ABE	arvostel-lu-tta	1
arvostelumyrskyn	arvostelumyrskyn	arvostella_V-DVU-myrsky_N-GEN	arvostel-u-myrsky-n	1
arvovaltansakin	arvovaltansakin	arvo_N-valta_N-3SGPL-kin_CLI	arvo-valta-nsa-kin	1
asemakaavaaluetta	asemakaavaaluetta	ase_N-maata_V-PCP1-alue_N-PTV-asema_N-kaava_N	ase-makaa-va-aluet-ta-asema-kaava	1
aseteltaessa	aseteltaessa	asettaa_V-DVELE-PSS-INF2-INE	aset-el-ta-e-ssa	1
asettajista	asettajista	asettaa_V-DVJA-PL-ELA	asetta-j-i-sta	1
asettamastaan	asettamastaan	asettaa_V-DVMA-ELA-3SGPL	asetta-ma-sta-an	1
asfalttiteitä	asfalttiteitä	asfaltti_N-tie_N-PL-PTV	asfaltti-te-i-tä	1
asfalttitiet	asfalttitiet	asfaltti_N-tie_N-PL	asfaltti-tie-t	1
asianosaisena	asianosaisena	asia_N-GEN-osainen_A-ESS	asia-n-osaise-na	1
asserille	asserille	asser_N-ALL	asseri-lle	1
asukaskokouksessa	asukaskokouksessa	asukas_N-kokous_N-INE	asukas-kokoukse-ssa	1
asuntokortteleita	asuntokortteleita	asunto_N-kortteli_N-PL-PTV	asunto-korttele-i-ta	1
asuntoluototuksessa	asuntoluototuksessa	asunto_N-luotottaa_V-DVUS-INE	asunto-luotot-ukse-ssa	1
asuttamamme	asuttamamme	asua_V-DVTTA-DVMA-1PL	asu-tta-ma-mme	1
asvalttiasemaa	asvalttiasemaa	asvaltti_N-ase_N-maa_N	asvaltti-ase-maa	1
aukioon	aukioon	aukio_N-ILL	aukio-on	1
aurausta	aurausta	aurata_V-DVUS-PTV	aura-us-ta	1
aurinkotyttökisa	aurinkotyttökisa	aurinko_N-tyttö_N-kisa_N	aurinko-tyttö-kisa	1
autoistumisaste	autoistumisaste	auto_N-istua_V-DVMINEN-aste_N-autoistua_V	auto-istu-mis-aste-autoistu	1
autokauppiaalle	autokauppiaalle	auto_N-kauppias_N-ALL	auto-kauppiaa-lle	1
autovaraosat	autovaraosat	auto_N-vara_N-osa_N-PL	auto-vara-osa-t	1
avaamasta	avaamasta	avata_V-DVMA-ELA	avaa-ma-sta	1
avaintermejä	avaintermejä	avain_N-termi_N-PL-PTV	avain-terme-j-ä	1
avantgardistit	avantgardistit	avantgardisti_N-PL	avantgardisti-t	1
avaruustutkimuskeskus	avaruustutkimuskeskus	avara_A-DAUUS-tutkimus_N-keskus_N	avar-uus-tutkimus-keskus	1
avaruusviraston	avaruusviraston	avara_A-DAUUS-virasto_N-GEN	avar-uus-virasto-n	1
avausraita	avausraita	avata_V-DVUS-raita_N	ava-us-raita	1
avuntarjouksen	avuntarjouksen	apu_N-GEN-tarjous_N	avu-n-tarjoukse	1
avustajakoiran	avustajakoiran	avustaa_V-DVJA-koira_N-GEN	avusta-ja-koira-n	1
ayrshiren	ayrshiren	ayrshire_N-GEN	ayrshire-n	1
ballistisia	ballistisia	ballisti_N-DNINEN-PL-PTV	ballist-is-i-a	1
barbados	barbados	barbados_N	barbados	1
barbadosissa	barbadosissa	barbados_N-INE	barbadosi-ssa	1
beetakaroteenilla	beetakaroteenilla	beeta_N-karoteeni_N-ADE	beeta-karoteeni-lla	1
berberiä	berberiä	berberi_N-PTV	berberi-ä	1
boori	boori	boori_N	boori	1
booriyhdisteet	booriyhdisteet	boori_N-yhdiste_N-PL	boori-yhdistee-t	1
bratislavansuurlähettiläs	bratislavansuurlähettiläs	bratislava_N-GEN-suur-lähettiläs_N	bratislava-n-suur-lähettiläs	1
britannialaisten	britannialaisten	britannia_N-DNLAINEN-PL-GEN	britannia-lais-t-en	1
brittikonsultti	brittikonsultti	britti_N-konsultti_N	britti-konsultti	1
brittisotilaista	brittisotilaista	britti_N-sotilas_N-PL-ELA	britti-sotila-i-sta	1
bryssel	bryssel	bryssel_N	bryssel	1
budjettiluonnoksessa	budjettiluonnoksessa	budjetti_N-luonnos_N-INE	budjetti-luonnokse-ssa	1
budjettiriihistä	budjettiriihistä	budjetti_N-riihi_N-PL-ELA	budjetti-riih-i-stä	1
budjettivaroista	budjettivaroista	budjetti_N-vara_N-PL-ELA	budjetti-varo-i-sta	1
collins	collins	collins_N	collins	1
collinsin	collinsin	collins_N-GEN	collinsi-n	1
countrybändin	countrybändin	country_N-bändi_N-GEN	country-bändi-n	1
countrylaulaja	countrylaulaja	country_N-laulaa_V-DVJA	country-laula-ja	1
daniel	daniel	daniel_N	daniel	1
dealer	dealer	dealer_N	dealer	1
delegaationsa	delegaationsa	delegaatio_N-3SGPL	delegaatio-nsa	1
demarilähteiden	demarilähteiden	demari_N-lähde_N-PL-GEN	demari-lähte-i-den	1
diplomaattiseksi	diplomaattiseksi	diplomaatti_N-DNINEN-TRA	diplomaatt-ise-ksi	1
dollarinippua	dollarinippua	dollari_N-nippu_N-PTV	dollari-nippu-a	1
dortmundissa	dortmundissa	dortmund_N-INE	dortmundi-ssa	1
dramaturgialinjalle	dramaturgialinjalle	dramaturgi_N-PTV-linja_N-ALL-dramaturgia_N	dramaturgi-a-linja-lle-dramaturgia	1
dramaturgiassa	dramaturgiassa	dramaturgia_N-INE	dramaturgia-ssa	1
dramaturgit	dramaturgit	dramaturgi_N-PL	dramaturgi-t	1
dxkuuntelija	dxkuuntelija	dx-kuunnella_V-DVJA	dx-kuunteli-ja	1
edellytettyjen	edellytettyjen	edellyttää_V-PSSPCP2-PL-GEN	edellyte-tty-j-en	1
eduskuntaryhmän	eduskuntaryhmän	edus_N-kunta_N-ryhmä_N-GEN	edus-kunta-ryhmä-n	1
eduskuntasihteerin	eduskuntasihteerin	edus_N-kunta_N-sihteeri_N-GEN	edus-kunta-sihteeri-n	1
eduskuntavaaleja	eduskuntavaaleja	edus_N-kunta_N-vaali_N-PL-PTV	edus-kunta-vaale-j-a	1
edustajanaan	edustajanaan	etu_N-ELA-jana_N-ILL-edus_N-PTV	edu-sta-jana-an-edus-ta	1
edustuskysymyksessä	edustuskysymyksessä	edustaa_V-DVUS-kysymys_N-INE	edust-us-kysymykse-ssä	1
efedriinin	efedriinin	efedriini_N-GEN	efedriini-n	1
ehdolla	ehdolla	ehto_N-ADE	ehdo-lla	1
ehdottomampia	ehdottomampia	ehto_N-DNTON-CMP-PL-PTV	ehdo-ttoma-mp-i-a	1
ehdotuksiamme	ehdotuksiamme	ehdottaa_V-DVUS-PL-PTV-1PL	ehdot-uks-i-a-mme	1
eikielellisiä	eikielellisiä	ei_PFX-kieli_N-DNLLINEN-PL-PTV	ei-kiele-llis-i-ä	1
eilat	eilat	eila_N-PL	eila-t	1
einojuhani	einojuhani	eino_N-juha_N-1SG	eino-juha-ni	1
eitoivottavaan	eitoivottavaan	ei_PFX-toivoa_V-DVTTA-PCP1-ILL	ei-toivo-tta-va-an	1
ekblomin	ekblomin	ekblom_N-GEN	ekblomi-n	1
eksotiikkaakin	eksotiikkaakin	eksotiikka_N-PTV-kin_CLI	eksotiikka-a-kin	1
elbe	elbe	elbe_N	elbe	1
elbejoen	elbejoen	elbe_N-joki_N-GEN	elbe-joe-n	1
eleensä	eleensä	ele_N-3SGPL	elee-nsä	1
elementtityö	elementtityö	elementti_N-työ_N	elementti-työ	1
elinalueeltaan	elinalueeltaan	elin_N-alue_N-ABL-3SGPL	elin-aluee-lta-an	1
elinkeinotuen	elinkeinotuen	elin_N-keino_N-tuki_N-GEN	elin-keino-tue-n	1
eliölajeille	eliölajeille	eliö_N-laji_N-PL-ALL	eliö-laje-i-lle	1
elokuvaklassikon	elokuvaklassikon	elo_N-kuva_N-klassikko_N-GEN	elo-kuva-klassiko-n	1
elokuvarahasto	elokuvarahasto	elo_N-kuva_N-rahasto_N	elo-kuva-rahasto	1
elvis	elvis	elvis_N	elvis	1
elvyttävistä	elvyttävistä	elpyä_V-DVTTA-PCP1-PL-ELA	elvy-ttä-v-i-stä	1
elvytyskampanjalla	elvytyskampanjalla	elpyä_V-DVTTA-DVUS-kampanja_N-ADE	elvy-t-ys-kampanja-lla	1
elämyspuistossa	elämyspuistossa	elämys_N-puisto_N-INE	elämys-puisto-ssa	1
elämänkertoja	elämänkertoja	elää_V-DVMA-GEN-kerta_N-PL-PTV	elä-mä-n-kerto-j-a	1
elämänkäsitykseen	elämänkäsitykseen	elää_V-DVMA-GEN-käsitys_N-ILL-elämä_N	elä-mä-n-käsitykse-en-elämä	1
elämäntapaan	elämäntapaan	elää_V-DVMA-GEN-tapa_N-ILL-elämä_N	elä-mä-n-tapa-an-elämä	1
elämässänne	elämässänne	elää_V-DVMA-INE-2PL-elämä_N	elä-mä-ssä-nne-elämä	1
elämöineet	elämöineet	elämöidä_V-PCP2-PL	elämöi-nee-t	1
emutaantuman	emutaantuman	emu_N-taantuma_N-GEN	emu-taantuma-n	1
emäkiinteistön	emäkiinteistön	emä_N-kiinteistö_N-GEN	emä-kiinteistö-n	1
energiantuottajana	energiantuottajana	energia_N-GEN-tuottaa_V-DVJA-ESS	energia-n-tuotta-ja-na	1
ennakkoveikkailut	ennakkoveikkailut	ennakko_N-veikata_V-DVILE-DVU-PL	ennakko-veikka-il-u-t	1
ennakkovoitelua	ennakkovoitelua	ennakko_N-voidella_V-DVU-PTV	ennakko-voitel-u-a	1
ennennäkemättömäksi	ennennäkemättömäksi	ennen-näkemätön_A-TRA	ennen-näkemättömä-ksi	1
eno	eno	eno_N	eno	1
epiteetti	epiteetti	epiteetti_N	epiteetti	1
epäsopivana	epäsopivana	epäsopia_V-PCP1-ESS	epäsopi-va-na	1
epäsuotuiset	epäsuotuiset	epäsuotuinen_A-PL	epäsuotuise-t	1
epätäsmälliseksi	epätäsmälliseksi	epätäsmällinen_A-TRA	epätäsmällise-ksi	1
epätäsmällisen	epätäsmällisen	epätäsmällinen_A-GEN	epätäsmällise-n	1
epäuskottavan	epäuskottavan	epäuskoa_V-PSS-PCP1-GEN	epäusko-tta-va-n	1
erikoisjoukot	erikoisjoukot	erikoinen_A-joukko_N-PL	erikois-jouko-t	1
erikoiskomission	erikoiskomission	erikoinen_A-komissio_N-GEN	erikois-komissio-n	1
erikoisnuuskan	erikoisnuuskan	erikoinen_A-nuuska_N-GEN	erikois-nuuska-n	1
erikoispalveluissa	erikoispalveluissa	erikoinen_A-palvella_V-DVU-PL-INE	erikois-palvel-u-i-ssa	1
erikoisryhmille	erikoisryhmille	erikoinen_A-ryhmä_N-PL-ALL	erikois-ryhm-i-lle	1
erikoisvarusteet	erikoisvarusteet	erikoinen_A-varuste_N-PL	erikois-varustee-t	1
erillisinäkin	erillisinäkin	erillinen_A-PL-ESS-kin_CLI	erillis-i-nä-kin	1
erimielisyytemme	erimielisyytemme	eri_A-mielinen_A-DAUUS-1PL	eri-mielis-yyte-mme	1
eripituisina	eripituisina	eri_A-pituinen_A-PL-ESS	eri-pituis-i-na	1
erityishuippukokouksesta	erityishuippukokouksesta	erityinen_A-huippu_N-kokous_N-ELA	erityis-huippu-kokoukse-sta	1
erityistehtäviin	erityistehtäviin	erityinen_A-tehtävä_N-PL-ILL	erityis-tehtäv-i-in	1
erkaantuivat	erkaantuivat	erkaantua_V-PAST-PL3	erkaantu-i-vat	1
erorahaston	erorahaston	ero_N-rahasto_N-GEN	ero-rahasto-n	1
erotetulla	erotetulla	erottaa_V-PSSPCP2-ADE	erote-tu-lla	1
erotumme	erotumme	erottaa_V-DVU-PL1	erot-u-mme	1
eräkämppä	eräkämppä	erä_N-kämppä_N	erä-kämppä	1
esiintymispaikkaa	esiintymispaikkaa	esiintyä_V-DVMINEN-paikka_N-PTV	esiinty-mis-paikka-a	1
esittämispaikka	esittämispaikka	esittää_V-DVMINEN-paikka_N	esittä-mis-paikka	1
estepuolellakin	estepuolellakin	este_N-puoli_N-ADE-kin_CLI	este-puole-lla-kin	1
estäjä	estäjä	estää_V-DVJA	estä-jä	1
estämistä	estämistä	estää_V-DVMA-PL-ELA	estä-m-i-stä	1
etsintäkuulutukset	etsintäkuulutukset	etsiä_V-DVNTA-kuulua_V-DVTTA-DVUS	etsi-ntä-kuulu-t-ukse	1
etutassujen	etutassujen	etu_N-tassu_N-PL-GEN	etu-tassu-j-en	1
etutukivarsi	etutukivarsi	etu_N-tuki_N-varsi_N	etu-tuki-varsi	1
etuvetoisella	etuvetoisella	etu_N-vetoinen_A-ADE	etu-vetoise-lla	1
etäopettaja	etäopettaja	etäopettaa_V-DVJA	etäopetta-ja	1
euedustus	euedustus	eu-edustaa_V-DVUS	eu-edust-us	1
eumaatalouden	eumaatalouden	eu-maa_N-talous_N-GEN	eu-maa-taloude-n	1
eurokuluttajina	eurokuluttajina	euro_N-kulua_V-DVTTA-DVJA-PL-ESS-eurokulua_V	euro-kulu-tta-j-i-na-eurokulu	1
eurooppasopimuksissa	eurooppasopimuksissa	eurooppa_N-sopimus_N-PL-INE	eurooppa-sopimuks-i-ssa	1
euroseteleiden	euroseteleiden	euro_N-seteli_N-PL-GEN-euroseteli_N	euro-setele-i-den-eurosetele	1
euroveteraani	euroveteraani	euro_N-veteraani_N-euroveteraani_N	euro-veteraani-euroveteraani	1
filmikäsikirjoittajat	filmikäsikirjoittajat	filmi_N-käsi_N-kirjoittaa_V-DVJA-PL	filmi-käsi-kirjoitta-ja-t	1
filosofioista	filosofioista	filosofia_N-PL-ELA	filosofio-i-sta	1
filosofoiva	filosofoiva	filosofoida_V-PCP1	filosofoi-va	1
finaalikamppailussa	finaalikamppailussa	finaali_N-kampata_V-DVILE-DVU-INE	finaali-kamppa-il-u-ssa	1
finanssikeskus	finanssikeskus	finanssi_N-keskus_N	finanssi-keskus	1
finanssikonserni	finanssikonserni	finanssi_N-konserni_N	finanssi-konserni	1
finanssileirit	finanssileirit	finanssi_N-leiri_N-PL	finanssi-leiri-t	1
flamencoperinteen	flamencoperinteen	flamenco_N-perinne_N-GEN	flamenco-perintee-n	1
fmkartta	fmkartta	fm-karsi_N-PTV	fm-kart-ta	1
fmtutkintoa	fmtutkintoa	fm-tutkinto_N-PTV	fm-tutkinto-a	1
folk	folk	folk_N	folk	1
foodissa	foodissa	food_N-INE	foodi-ssa	1
foorumille	foorumille	foorumi_N-ALL	foorumi-lle	1
formulamaailmassa	formulamaailmassa	formula_N-maa_N-ilma_N-INE	formula-maa-ilma-ssa	1
fortissimo	fortissimo	fortissimo_ADV	fortissimo	1
fortissimossa	fortissimossa	fortissimo_N-INE	fortissimo-ssa	1
galluppien	galluppien	gallup_N-piki_N-GEN	gallup-pie-n	1
haasteltu	haasteltu	haastaa_V-DVELE-PSSPCP2	haast-el-tu	1
hagströmien	hagströmien	hagström_N-PL-GEN	hagström-i-en	1
hagströmin	hagströmin	hagström_N-GEN	hagströmi-n	1
hajamielisyyteen	hajamielisyyteen	haja_PFX-mielinen_A-DAUUS-ILL	haja-mielis-yyte-en	1
hajanäytteitä	hajanäytteitä	haja_PFX-näyte_N-PL-PTV	haja-näytte-i-tä	1
hajasijoitetut	hajasijoitetut	haja_PFX-sijoittaa_V-PSSPCP2-PL-hajasijoittaa_V	haja-sijoite-tu-t-hajasijoite	1
hakemuksesi	hakemuksesi	hakemus_N-2SG	hakemukse-si	1
hakuominaisuuksia	hakuominaisuuksia	haku_N-ominainen_A-DAUUS-PL-PTV	haku-ominais-uuks-i-a	1
hallinnonaloja	hallinnonaloja	hallinto_N-GEN-ala_N-PL-PTV	hallinno-n-alo-j-a	1
hallinnonhaarat	hallinnonhaarat	hallinto_N-GEN-haara_N-PL	hallinno-n-haara-t	1
hallintoihmisiä	hallintoihmisiä	hallinto_N-ihminen_N-PL-PTV	hallinto-ihmis-i-ä	1
hallitusremonttia	hallitusremonttia	hallitus_N-remontti_N-PTV	hallitus-remontti-a	1
halpamyyntiä	halpamyyntiä	halpa_A-myydä_V-DVNTI-PTV	halpa-myy-nti-ä	1
halpenemisena	halpenemisena	halveta_V-DVMINEN-ESS	halpene-mise-na	1
halventaisi	halventaisi	halveta_V-DVNTAA-COND	halve-nta-isi	1
hameeseen	hameeseen	hame_N-ILL	hamee-seen	1
hameisiin	hameisiin	hame_N-PL-ILL	hame-i-siin	1
hammashoitoon	hammashoitoon	hammas_N-hoito_N-ILL	hammas-hoito-on	1
hammaskruunu	hammaskruunu	hammas_N-kruunu_N	hammas-kruunu	1
hampaissaan	hampaissaan	hammas_N-PL-INE-3SGPL	hampa-i-ssa-an	1
hankaliinkin	hankaliinkin	hankala_A-PL-ILL-kin_CLI	hankal-i-in-kin	1
hankintaansa	hankintaansa	hankkia_V-DVNTA-ILL-3SGPL	hanki-nta-a-nsa	1
hankintatukku	hankintatukku	hankkia_V-DVNTA-tukku_N	hanki-nta-tukku	1
hankkia	hankkia	hankkia_V-INF1	hankki-a	1
hankkimia	hankkimia	hankkia_V-DVMA-PL-PTV	hankki-m-i-a	1
hanskojen	hanskojen	hanska_N-PL-GEN	hansko-j-en	1
harkitsemattomia	harkitsemattomia	harkita_V-DVMATON-PL-PTV	harkitse-mattom-i-a	1
harminaihe	harminaihe	harmi_N-GEN-aihe_N	harmi-n-aihe	1
harmittomammasta	harmittomammasta	harmi_N-DNTON-CMP-ELA	harmi-ttoma-mma-sta	1
harrastuksessaan	harrastuksessaan	harrastaa_V-DVUS-INE-3SGPL	harrast-ukse-ssa-an	1
haudutettu	haudutettu	hautua_V-DVTTA-PSSPCP2	haudu-te-ttu	1
haudutetulla	haudutetulla	hautua_V-DVTTA-PSSPCP2-ADE	haudu-te-tu-lla	1
haurastumiseen	haurastumiseen	haurastua_V-DVMINEN-ILL	haurastu-mise-en	1
haydnista	haydnista	haydn_N-ELA	haydni-sta	1
hedelmäeristä	hedelmäeristä	hedelmä_N-erä_N-PL-ELA	hedelmä-er-i-stä	1
heikkoselta	heikkoselta	heikkonen_N-ABL	heikkose-lta	1
heikkouksistaan	heikkouksistaan	heikko_A-DAUS-PL-ELA-3SGPL	heikko-uks-i-sta-an	1
heinäkankaantie	heinäkankaantie	he_PRON-ESS-kangas_N-GEN-tie_N-heinä_N	hei-nä-kankaa-n-tie-heinä	1
heinäpään	heinäpään	he_PRON-ESS-pää_N-GEN-heinä_N	hei-nä-pää-n-heinä	1
hellepäivä	hellepäivä	helle_N-päivä_N	helle-päivä	1
helmassa	helmassa	helma_N-INE	helma-ssa	1
helppoudelle	helppoudelle	helppo_A-DAUS-ALL	helppo-ude-lle	1
helppoutta	helppoutta	helppo_A-DAUS-PTV	helppo-ut-ta	1
hempeämielisiä	hempeämielisiä	hempeä_A-mielinen_A-PL-PTV	hempeä-mielis-i-ä	1
hengenvaarallisessa	hengenvaarallisessa	henki_N-GEN-vaara_N-DNLLINEN-INE	henge-n-vaara-llise-ssa	1
henkilöhaastatteluilla	henkilöhaastatteluilla	henkilö_N-haastaa_V-DVTTA-DVELE-DVU-PL-ADE	henkilö-haasta-tt-el-u-i-lla	1
henkivakuutusyhtiö	henkivakuutusyhtiö	henki_N-vakuuttaa_V-DVUS-yhtiö_N	henki-vakuut-us-yhtiö	1
henkäyksen	henkäyksen	henkäys_N-GEN	henkäykse-n	1
hennoissa	hennoissa	henna_N-PL-INE	henno-i-ssa	1
herkistyykin	herkistyykin	herkistää_V-DVU	herkist-y	1
herraseuraa	herraseuraa	herra_N-seura_N-PTV	herra-seura-a	1
heteroseksuaalit	heteroseksuaalit	heteroseksuaali_N-PL	heteroseksuaali-t	1
hetkellinen	hetkellinen	hetki_N-DNLLINEN	hetke-llinen	1
hidastusmutkaa	hidastusmutkaa	hidastaa_V-DVUS-mutka_N-PTV	hidast-us-mutka-a	1
hienostuneeksi	hienostuneeksi	hienostua_V-PCP2-TRA	hienostu-nee-ksi	1
hienostuneessa	hienostuneessa	hienostua_V-PCP2-INE	hienostu-nee-ssa	1
hienostuneesti	hienostuneesti	hienostua_V-PCP2-MAN	hienostu-nee-sti	1
hienosäätöhommaa	hienosäätöhommaa	hieno_A-säätö_N-homma_N-PTV	hieno-säätö-homma-a	1
hiihtotoivot	hiihtotoivot	hiihto_N-toivo_N-PL	hiihto-toivo-t	1
hiiriin	hiiriin	hiiri_N-PL-ILL	hiir-i-in	1
hiirivetoisen	hiirivetoisen	hiiri_N-vetoinen_A-GEN	hiiri-vetoise-n	1
hingusta	hingusta	hinku_N-ELA	hingu-sta	1
hirsiperinnekoulun	hirsiperinnekoulun	hirsi_N-perinne_N-koulu_N-GEN	hirsi-perinne-koulu-n	1
hoikkuuden	hoikkuuden	hoikka_A-DAUUS-GEN	hoikk-uude-n	1
hoikkuudesta	hoikkuudesta	hoikka_A-DAUUS-ELA	hoikk-uude-sta	1
hokemia	hokemia	hokea_V-DVMA-PL-PTV	hoke-m-i-a	1
hongalle	hongalle	honka_N-ALL	honga-lle	1
honkahovin	honkahovin	honka_N-hovi_N-GEN	honka-hovi-n	1
hosumista	hosumista	hosua_V-DVMA-PL-ELA	hosu-m-i-sta	1
hotelliinsa	hotelliinsa	hotelli_N-ILL-3SGPL	hotelli-i-nsa	1
houkuttimiin	houkuttimiin	houkutin_N-PL-ILL	houkuttim-i-in	1
housun	housun	housu_N-GEN	housu-n	1
housunlahkeet	housunlahkeet	housu_N-GEN-lahje_N-PL	housu-n-lahkee-t	1
hovinheimon	hovinheimon	hovi_N-GEN-heimo_N	hovi-n-heimo	1
huippukokouksia	huippukokouksia	huippu_N-kokous_N-PL-PTV	huippu-kokouks-i-a	1
huippukorkeiden	huippukorkeiden	huippu_N-korkea_A-PL-GEN	huippu-korke-i-den	1
huippuravureita	huippuravureita	huippu_N-ravuri_N-PL-PTV	huippu-ravure-i-ta	1
hulttio	hulttio	hulttio_N	hulttio	1
hulttiot	hulttiot	hulttio_N-PL	hulttio-t	1
humoreskia	humoreskia	humoreski_N-PTV	humoreski-a	1
humussa	humussa	humu_N-INE	humu-ssa	1
huntua	huntua	huntu_N-PTV	huntu-a	1
huojuivat	huojuivat	huojua_V-PAST-PL3	huoju-i-vat	1
huolellisuudella	huolellisuudella	huoli_N-DNLLINEN-DAUUS-ADE	huole-llis-uude-lla	1
huolisi	huolisi	huolia_V-COND	huol-isi	1
huoltotöihin	huoltotöihin	huolto_N-työ_N-PL-ILL	huolto-tö-i-hin	1
huudollaan	huudollaan	huuto_N-ADE-3SGPL	huudo-lla-an	1
huulesta	huulesta	huuli_N-ELA	huule-sta	1
huulisyöpää	huulisyöpää	huuli_N-syöpä_N-PTV	huuli-syöpä-ä	1
