{'sf': 'ajoilta', 'freq': '1', 'analysis': 'aika_N-PL-ABL', 'segmentation': 'ajo-i-lta', 'ur': 'ajo-i-ltA', 'predicted_sr': 'ajo-i-ltä'}
{'sf': 'kulttuuriseltakin', 'freq': '1', 'analysis': 'kulturinen_A-ABL-kin_CLI', 'segmentation': 'kulturise-lta-kin', 'ur': 'kulturise-ltA-kin', 'predicted_sr': 'kulturise-ltä-kin'}
{'sf': 'kulttuuritajunnassa', 'freq': '1', 'analysis': 'kulturi_N-tajunta_N-INE', 'segmentation': 'kulturi-tajuna-sa', 'ur': 'kulturi-tajuna-sA', 'predicted_sr': 'kulturi-tojuna-sä'}
{'sf': 'kumppanillanne', 'freq': '1', 'analysis': 'kumpani_N-ADE-2PL', 'segmentation': 'kumpani-la-ne', 'ur': 'kumpani-lA-ne', 'predicted_sr': 'kumpani-lä-ne'}
{'sf': 'kurdipakolaisesta', 'freq': '1', 'analysis': 'kurdi_N-pakolainen_N-ELA', 'segmentation': 'kurdi-pakolaise-sta', 'ur': 'kurdi-pakolaise-stA', 'predicted_sr': 'kurdi-pokolaise-stä'}
{'sf': 'kyproksessa', 'freq': '1', 'analysis': 'kypros_N-INE', 'segmentation': 'kyprokse-sa', 'ur': 'kyprokse-sA', 'predicted_sr': 'kyprokse-sä'}
{'sf': 'könttäsummalla', 'freq': '1', 'analysis': 'köntä_N-suma_N-ADE', 'segmentation': 'köntä-suma-la', 'ur': 'köntä-suma-lA', 'predicted_sr': 'köntä-suma-lä'}
{'sf': 'laatijaksi', 'freq': '1', 'analysis': 'latia_V-DVJA-TRA', 'segmentation': 'lati-ja-ksi', 'ur': 'lati-jA-ksi', 'predicted_sr': 'lati-jä-ksi'}
{'sf': 'lattiakaivo', 'freq': '1', 'analysis': 'latia_N-kaivo_N', 'segmentation': 'latia-kaivo', 'ur': 'latia-kaivo', 'predicted_sr': 'latia-koivo'}
{'sf': 'liberaalipuolueella', 'freq': '1', 'analysis': 'liberali_A-puolue_N-ADE', 'segmentation': 'liberali-puolue-la', 'ur': 'liberali-puolue-lA', 'predicted_sr': 'liberali-puolue-lä'}
{'sf': 'liikuntajohtajaksi', 'freq': '1', 'analysis': 'likua_V-DVNTA-johta_V-DVJA-TRA', 'segmentation': 'liku-nta-johta-ja-ksi', 'ur': 'liku-nta-johta-jA-ksi', 'predicted_sr': 'liku-nto-johta-jä-ksi'}
{'sf': 'liikuntavammaisille', 'freq': '1', 'analysis': 'likua_V-DVNTA-vamainen_A/N-PL-AL', 'segmentation': 'liku-nta-vamais-i-le', 'ur': 'liku-nta-vamais-i-le', 'predicted_sr': 'liku-nto-vamais-i-le'}
{'sf': 'linjaautoksi', 'freq': '1', 'analysis': 'linja_N-auto_N-TRA', 'segmentation': 'linja-auto-ksi', 'ur': 'linja-auto-ksi', 'predicted_sr': 'linja-outo-ksi'}
{'sf': 'lohkona', 'freq': '1', 'analysis': 'lohko_N-ES', 'segmentation': 'lohko-na', 'ur': 'lohko-nA', 'predicted_sr': 'lohko-nä'}
{'sf': 'loiskiva', 'freq': '1', 'analysis': 'loiskia_V-PCP1', 'segmentation': 'loiski-va', 'ur': 'loiski-vA', 'predicted_sr': 'loiski-vä'}
{'sf': 'luettavaksi', 'freq': '1', 'analysis': 'lukea_V-PS-PCP1-TRA-lueta_V', 'segmentation': 'lue-ta-va-ksi-lueta', 'ur': 'lue-tA-vA-ksi-lueta', 'predicted_sr': 'lue-tä-vä-ksi-lueto'}
{'sf': 'maanantaiiltainen', 'freq': '1', 'analysis': 'manantai_N-iltainen_A', 'segmentation': 'manantai-iltainen', 'ur': 'manantai-iltainen', 'predicted_sr': 'manantai-iltoinen'}
{'sf': 'madonnamaisesti', 'freq': '1', 'analysis': 'madona_N-DNMAINEN-MAN', 'segmentation': 'madona-maise-sti', 'ur': 'madona-maise-sti', 'predicted_sr': 'madona-moise-sti'}
{'sf': 'matrikkelitoimikunta', 'freq': '1', 'analysis': 'matrikeli_N-toimi_N-kunta_N', 'segmentation': 'matrikeli-toimi-kunta', 'ur': 'matrikeli-toimi-kunta', 'predicted_sr': 'matrikeli-toimi-kunto'}
{'sf': 'mechelininkadulta', 'freq': '1', 'analysis': 'mechelininkatu_N-ABL', 'segmentation': 'mechelininkadu-lta', 'ur': 'mechelininkadu-ltA', 'predicted_sr': 'mechelininkadu-ltä'}
{'sf': 'mediatapahtuma', 'freq': '1', 'analysis': 'media_N-tapahtuma_N', 'segmentation': 'media-tapahtuma', 'ur': 'media-tapahtuma', 'predicted_sr': 'media-topahtuma'}
{'sf': 'minikoossa', 'freq': '1', 'analysis': 'mini_A-koko_N-INE', 'segmentation': 'mini-ko-sa', 'ur': 'mini-ko-sA', 'predicted_sr': 'mini-ko-sä'}
{'sf': 'mittarihan', 'freq': '1', 'analysis': 'mitari_N-hAn_CLI', 'segmentation': 'mitari-han', 'ur': 'mitari-han', 'predicted_sr': 'mitari-hon'}
{'sf': 'muodostavasta', 'freq': '1', 'analysis': 'muodosta_V-PCP1-ELA', 'segmentation': 'muodosta-va-sta', 'ur': 'muodosta-vA-stA', 'predicted_sr': 'muodosta-vä-stä'}
{'sf': 'muotoseikoilla', 'freq': '1', 'analysis': 'muoto_N-seika_N-PL-ADE', 'segmentation': 'muoto-seiko-i-la', 'ur': 'muoto-seiko-i-lA', 'predicted_sr': 'muoto-seiko-i-lä'}
{'sf': 'murtovarkautta', 'freq': '1', 'analysis': 'murto_N-varkaus_N-PTV', 'segmentation': 'murto-varkaut-ta', 'ur': 'murto-varkaut-tA', 'predicted_sr': 'murto-varkaut-tä'}
{'sf': 'myyntiehdoista', 'freq': '1', 'analysis': 'mydä_V-DVNTI-ehto_N-PL-ELA', 'segmentation': 'my-nti-ehdo-i-sta', 'ur': 'my-nti-ehdo-i-stA', 'predicted_sr': 'my-nti-ehdo-i-stä'}
{'sf': 'naureskelija', 'freq': '1', 'analysis': 'naureskela_V-DVJA', 'segmentation': 'naureskeli-ja', 'ur': 'naureskeli-jA', 'predicted_sr': 'naureskeli-jä'}
{'sf': 'nivusvammansa', 'freq': '1', 'analysis': 'nivukset_N-vama_N-3SGPL_nsA', 'segmentation': 'nivus-vama-nsa', 'ur': 'nivus-vama-nsA', 'predicted_sr': 'nivus-voma-nsä'}
{'sf': 'nobelpalkintona', 'freq': '1', 'analysis': 'nobel_N-palkinto_N-ES', 'segmentation': 'nobel-palkinto-na', 'ur': 'nobel-palkinto-nA', 'predicted_sr': 'nobel-palkinto-nä'}
{'sf': 'oikeampi', 'freq': '1', 'analysis': 'oikea_A-CMP', 'segmentation': 'oikea-mpi', 'ur': 'oikea-mpA', 'predicted_sr': 'oikea-mpä'}
{'sf': 'opiskelijavaihtona', 'freq': '1', 'analysis': 'opiskela_V-DVJA-vaihto_N-ES', 'segmentation': 'opiskeli-ja-vaihto-na', 'ur': 'opiskeli-jA-vaihto-nA', 'predicted_sr': 'opiskeli-jä-vaihto-nä'}
{'sf': 'oskulla', 'freq': '1', 'analysis': 'osku_N-ADE', 'segmentation': 'osku-la', 'ur': 'osku-lA', 'predicted_sr': 'osku-lä'}
{'sf': 'otetaankin', 'freq': '1', 'analysis': 'ota_V-PS-PE4-kin_CLI', 'segmentation': 'ote-ta-an-kin', 'ur': 'ote-tA-An-kin', 'predicted_sr': 'ote-tä-än-kin'}
{'sf': 'otettavalle', 'freq': '1', 'analysis': 'ota_V-PS-PCP1-AL', 'segmentation': 'ote-ta-va-le', 'ur': 'ote-tA-vA-le', 'predicted_sr': 'ote-tä-vä-le'}
{'sf': 'otsasta', 'freq': '1', 'analysis': 'otsa_N-ELA', 'segmentation': 'otsa-sta', 'ur': 'otsa-stA', 'predicted_sr': 'otsa-stä'}
{'sf': 'otsatukka', 'freq': '1', 'analysis': 'otsa_N-tuka_N', 'segmentation': 'otsa-tuka', 'ur': 'otsa-tuka', 'predicted_sr': 'otsa-tuko'}
{'sf': 'painorajoitetulla', 'freq': '1', 'analysis': 'paino_N-rajoita_V-PSPCP2-ADE', 'segmentation': 'paino-rajoite-tu-la', 'ur': 'paino-rajoite-tU-lA', 'predicted_sr': 'paino-rajoite-tu-lä'}
{'sf': 'pakolaisasema', 'freq': '1', 'analysis': 'pakolainen_N-asema_N', 'segmentation': 'pakolais-asema', 'ur': 'pakolais-asema', 'predicted_sr': 'pakolais-osema'}
{'sf': 'paronitarta', 'freq': '1', 'analysis': 'paronitar_N-PTV', 'segmentation': 'paronitar-ta', 'ur': 'paronitar-tA', 'predicted_sr': 'paronitar-tä'}
{'sf': 'pelastamatta', 'freq': '1', 'analysis': 'pelasta_V-DVMA-ABE', 'segmentation': 'pelasta-ma-ta', 'ur': 'pelasta-mA-ta', 'predicted_sr': 'pelasta-mä-to'}
{'sf': 'perintörahoilla', 'freq': '1', 'analysis': 'perintö_N-raha_N-PL-ADE', 'segmentation': 'perintö-raho-i-la', 'ur': 'perintö-raha-i-lA', 'predicted_sr': 'perintö-raha-i-lä'}
{'sf': 'perunakaupoista', 'freq': '1', 'analysis': 'peru_N-ES-kaupa_N-PL-ELA-peruna_N', 'segmentation': 'peru-na-kaupo-i-sta-peruna', 'ur': 'peru-nA-kaupa-i-stA-peruna', 'predicted_sr': 'peru-nä-koupa-i-stä-peruna'}
{'sf': 'peruskorossa', 'freq': '1', 'analysis': 'perus_PFX-korko_N-INE', 'segmentation': 'perus-koro-sa', 'ur': 'perus-koro-sA', 'predicted_sr': 'perus-koro-sä'}
{'sf': 'pikkusiskonsa', 'freq': '1', 'analysis': 'piku_A-sisko_N-3SGPL_nsA', 'segmentation': 'piku-sisko-nsa', 'ur': 'piku-sisko-nsA', 'predicted_sr': 'piku-sisko-nsä'}
{'sf': 'poimintakaudella', 'freq': '1', 'analysis': 'poimia_V-DVNTA-kausi_N-ADE', 'segmentation': 'poimi-nta-kaude-la', 'ur': 'poimi-nta-kausi-lA', 'predicted_sr': 'poimi-nta-kausi-lä'}
{'sf': 'polyfonista', 'freq': '1', 'analysis': 'polyfoninen_A-PTV', 'segmentation': 'polyfonis-ta', 'ur': 'polyfonis-tA', 'predicted_sr': 'polyfonis-tä'}
{'sf': 'pompottavana', 'freq': '1', 'analysis': 'pompota_V-PCP1-ES', 'segmentation': 'pompota-va-na', 'ur': 'pompota-vA-nA', 'predicted_sr': 'pompota-vä-nä'}
{'sf': 'prosenttilinjalla', 'freq': '1', 'analysis': 'prosenti_N-linja_N-ADE', 'segmentation': 'prosenti-linja-la', 'ur': 'prosenti-linja-lA', 'predicted_sr': 'prosenti-linja-lä'}
{'sf': 'purkakaa', 'freq': '1', 'analysis': 'purka_V-IMPV', 'segmentation': 'purka-ka', 'ur': 'purka-ka', 'predicted_sr': 'purka-ko'}
{'sf': 'raivostuttavalta', 'freq': '1', 'analysis': 'raivostua_V-DVTA-PCP1-ABL', 'segmentation': 'raivostu-ta-va-lta', 'ur': 'raivostu-tA-vA-ltA', 'predicted_sr': 'raivostu-tä-vä-ltä'}
{'sf': 'retkeilyvarusteita', 'freq': '1', 'analysis': 'retkeilä_V-DVU-varuste_N-PL-PTV', 'segmentation': 'retkeil-y-varuste-i-ta', 'ur': 'retkeil-U-varuste-i-tA', 'predicted_sr': 'retkeil-y-varuste-i-tä'}
{'sf': 'rintamasotilastunnusta', 'freq': '1', 'analysis': 'rintama_N-sotilas_N-tuntu_N-ELA', 'segmentation': 'rintama-sotilas-tunu-sta', 'ur': 'rintama-sotilas-tunu-stA', 'predicted_sr': 'rintama-sotilos-tunu-stä'}
{'sf': 'riskeeraamatta', 'freq': '1', 'analysis': 'riskerata_V-DVMA-ABE', 'segmentation': 'riskera-ma-ta', 'ur': 'riskera-mA-ta', 'predicted_sr': 'riskera-mä-to'}
{'sf': 'rokottamalla', 'freq': '1', 'analysis': 'rokota_V-DVMA-ADE', 'segmentation': 'rokota-ma-la', 'ur': 'rokota-mA-lA', 'predicted_sr': 'rokota-mä-lä'}
{'sf': 'saastuttamassa', 'freq': '1', 'analysis': 'sastua_V-DVTA-DVMA-INE', 'segmentation': 'sastu-ta-ma-sa', 'ur': 'sastu-tA-mA-sA', 'predicted_sr': 'sastu-tä-mä-sä'}
{'sf': 'saksalaiskirjailijoiden', 'freq': '1', 'analysis': 'saksalainen_A/N-kirjaila_V-DVJO-PL-GEN', 'segmentation': 'saksalais-kirjaili-jo-i-den', 'ur': 'saksalais-kirjaili-jO-i-den', 'predicted_sr': 'saksalais-kirjoili-jo-i-den'}
{'sf': 'sekaannutaan', 'freq': '1', 'analysis': 'sekantua_V-PS-PE4', 'segmentation': 'sekanu-ta-an', 'ur': 'sekanu-tA-An', 'predicted_sr': 'sekanu-tä-än'}
{'sf': 'sidottuina', 'freq': '1', 'analysis': 'sitoa_V-PSPCP2-PL-ES', 'segmentation': 'sido-tu-i-na', 'ur': 'sido-tU-i-nA', 'predicted_sr': 'sido-tu-i-nä'}
{'sf': 'sijoittajasta', 'freq': '1', 'analysis': 'sijoita_V-DVJA-ELA', 'segmentation': 'sijoita-ja-sta', 'ur': 'sijoita-jA-stA', 'predicted_sr': 'sijoita-jä-stä'}
{'sf': 'soijatuotteiden', 'freq': '1', 'analysis': 'soida_V-DVJA-tuote_N-PL-GEN-soija_N', 'segmentation': 'soi-ja-tuote-i-den-soija', 'ur': 'soi-jA-tuote-i-den-soija', 'predicted_sr': 'soi-jä-tuote-i-den-soija'}
{'sf': 'suksifirma', 'freq': '1', 'analysis': 'suksi_N-firma_N', 'segmentation': 'suksi-firma', 'ur': 'suksi-firma', 'predicted_sr': 'suksi-firmo'}
{'sf': 'suomestahan', 'freq': '1', 'analysis': 'suomi_N-ELA-hAn_CLI', 'segmentation': 'suome-sta-han', 'ur': 'suome-stA-han', 'predicted_sr': 'suome-stä-han'}
{'sf': 'surivat', 'freq': '1', 'analysis': 'sura_V-PAST-PL3', 'segmentation': 'sur-i-vat', 'ur': 'sur-i-vAt', 'predicted_sr': 'sur-i-vät'}
{'sf': 'säästöpankkiopistolla', 'freq': '1', 'analysis': 'sästö_N-panki_N-opisto_N-ADE', 'segmentation': 'sästö-panki-opisto-la', 'ur': 'sästö-panki-opisto-lA', 'predicted_sr': 'sästö-panki-opisto-lä'}
{'sf': 'talousuutisissa', 'freq': '1', 'analysis': 'talous_N-utinen_N-PL-INE', 'segmentation': 'talous-utis-i-sa', 'ur': 'talous-utis-i-sA', 'predicted_sr': 'talous-utis-i-sä'}
{'sf': 'talvesta', 'freq': '1', 'analysis': 'talvi_N-ELA', 'segmentation': 'talve-sta', 'ur': 'talve-stA', 'predicted_sr': 'talve-stä'}
{'sf': 'tarinailta', 'freq': '1', 'analysis': 'tarina_N-ilta_N', 'segmentation': 'tarina-ilta', 'ur': 'tarina-ilta', 'predicted_sr': 'tarina-ilto'}
{'sf': 'tasaarvoasiamiehelle', 'freq': '1', 'analysis': 'tasa_PFX-arvo_N-asia_N-mies_N-AL', 'segmentation': 'tasa-arvo-asia-miehe-le', 'ur': 'tasa-arvo-asia-miese-le', 'predicted_sr': 'tasa-orvo-asia-miese-le'}
{'sf': 'taustajoukoissa', 'freq': '1', 'analysis': 'taus_N-PTV-jouko_N-PL-INE-tausta_N', 'segmentation': 'taus-ta-jouko-i-sa-tausta', 'ur': 'taus-tA-jouko-i-sA-tausta', 'predicted_sr': 'taus-tä-jouko-i-sä-tousta'}
{'sf': 'teoista', 'freq': '1', 'analysis': 'tea_N-PL-ELA', 'segmentation': 'teo-i-sta', 'ur': 'teo-i-stA', 'predicted_sr': 'teo-i-stä'}
{'sf': 'tiedottavansa', 'freq': '1', 'analysis': 'tiedota_V-PCP1-3SGPL_nsA', 'segmentation': 'tiedota-va-nsa', 'ur': 'tiedota-vA-nsA', 'predicted_sr': 'tiedota-vä-nsä'}
{'sf': 'tihkusadetta', 'freq': '1', 'analysis': 'tihku_N-sade_N-PTV', 'segmentation': 'tihku-sadet-ta', 'ur': 'tihku-sadet-tA', 'predicted_sr': 'tihku-sodet-tä'}
{'sf': 'toivottamalta', 'freq': '1', 'analysis': 'toivoa_V-DVTA-DVMA-ABL', 'segmentation': 'toivo-ta-ma-lta', 'ur': 'toivo-tA-mA-ltA', 'predicted_sr': 'toivo-tä-mä-ltä'}
{'sf': 'tomaattisosetta', 'freq': '1', 'analysis': 'tomati_N-sose_N-PTV', 'segmentation': 'tomati-soset-ta', 'ur': 'tomati-soset-tA', 'predicted_sr': 'tomati-soset-tä'}
{'sf': 'torjuntapolitiikka', 'freq': '1', 'analysis': 'torjunta_N-politika_N', 'segmentation': 'torjunta-politika', 'ur': 'torjunta-politika', 'predicted_sr': 'torjunta-politiko'}
{'sf': 'tukkureista', 'freq': '1', 'analysis': 'tukuri_N-PL-ELA', 'segmentation': 'tukure-i-sta', 'ur': 'tukure-i-stA', 'predicted_sr': 'tukure-i-stä'}
{'sf': 'tultava', 'freq': '1', 'analysis': 'tula_V-PS-PCP1', 'segmentation': 'tul-ta-va', 'ur': 'tul-tA-vA', 'predicted_sr': 'tul-tä-vä'}
{'sf': 'tuomiojalta', 'freq': '1', 'analysis': 'tuomi_N-oja_N-ABL', 'segmentation': 'tuomi-oja-lta', 'ur': 'tuomi-oja-ltA', 'predicted_sr': 'tuomi-oja-ltä'}
{'sf': 'tuovana', 'freq': '1', 'analysis': 'tuoda_V-PCP1-ES', 'segmentation': 'tuo-va-na', 'ur': 'tuo-vA-nA', 'predicted_sr': 'tuo-vä-nä'}
{'sf': 'turkulaisessa', 'freq': '1', 'analysis': 'turku_N-DNLAINEN-INE', 'segmentation': 'turku-laise-sa', 'ur': 'turku-lAise-sA', 'predicted_sr': 'turku-läise-sä'}
{'sf': 'työturvalla', 'freq': '1', 'analysis': 'työ_N-turpa_N-ADE', 'segmentation': 'työ-turva-la', 'ur': 'työ-turva-lA', 'predicted_sr': 'työ-turva-lä'}
{'sf': 'uhkasta', 'freq': '1', 'analysis': 'uhka_N-ELA', 'segmentation': 'uhka-sta', 'ur': 'uhka-stA', 'predicted_sr': 'uhka-stä'}
{'sf': 'ulossäteilystä', 'freq': '1', 'analysis': 'ulos_ADV-säteilä_V-DVU-ELA', 'segmentation': 'ulos-säteil-y-stä', 'ur': 'ulos-säteil-U-stA', 'predicted_sr': 'ulos-säteil-u-stä'}
