{'sf': 'ɑnnee', 'freq': '16', 'analysis': 'Stem-dat', 'segmentation': 'ɑnne-e', 'ur': 'ɑnne-A', 'predicted_sr': 'ɑnne-A'}
{'sf': 'ʧizme', 'freq': '3', 'analysis': 'Stem-vn:inf', 'segmentation': 'ʧiz-me', 'ur': 'ʧiz-mA', 'predicted_sr': 'ʧiz-mA'}
{'sf': 'jyzme', 'freq': '3', 'analysis': 'Stem-p1s-dat', 'segmentation': 'jyz-m-e', 'ur': 'jyz-m-A', 'predicted_sr': 'jyz-m-A'}
{'sf': 'søjleelim', 'freq': '3', 'analysis': 'Stem-cv:ye-li-p1s', 'segmentation': 'søjle-e-li-m', 'ur': 'søjle-A-lH-m', 'predicted_sr': 'søjle-A-lI-m'}
{'sf': 'tepsie', 'freq': '3', 'analysis': 'Stem-dat', 'segmentation': 'tepsi-e', 'ur': 'tepsi-A', 'predicted_sr': 'tepsi-A'}
{'sf': 'jemekte', 'freq': '2', 'analysis': 'Stem-loc', 'segmentation': 'jemek-te', 'ur': 'jemek-dA', 'predicted_sr': 'jemek-dA'}
{'sf': 'jemekleri', 'freq': '2', 'analysis': 'Stem-pl-acc', 'segmentation': 'jemek-ler-i', 'ur': 'jemek-lAr-H', 'predicted_sr': 'jemek-lAr-I'}
{'sf': 'dɑirede', 'freq': '2', 'analysis': 'Stem-loc', 'segmentation': 'dɑire-de', 'ur': 'dɑire-dA', 'predicted_sr': 'dɑire-dA'}
{'sf': 'pɑntolonu', 'freq': '2', 'analysis': 'Stem-p3s', 'segmentation': 'pɑntolon-u', 'ur': 'pɑntolon-H', 'predicted_sr': 'pɑntolon-W'}
{'sf': 'evden', 'freq': '2', 'analysis': 'Stem-abl', 'segmentation': 'ev-den', 'ur': 'ev-dAn', 'predicted_sr': 'ev-dAn'}
{'sf': 'bɑbɑɑnnee', 'freq': '2', 'analysis': 'Stem-dat', 'segmentation': 'bɑbɑɑnne-e', 'ur': 'bɑbɑɑnne-A', 'predicted_sr': 'bɑbɑɑnne-A'}
{'sf': 'deneelim', 'freq': '2', 'analysis': 'Stem-cv:ye-li-p1s', 'segmentation': 'dene-e-li-m', 'ur': 'dene-A-lH-m', 'predicted_sr': 'dene-A-lI-m'}
{'sf': 'tekerlekleri', 'freq': '2', 'analysis': 'Stem-pl-p3s', 'segmentation': 'tekerlek-ler-i', 'ur': 'tekerlek-lAr-H', 'predicted_sr': 'tekerlek-lAr-I'}
{'sf': 'ʃøføry', 'freq': '2', 'analysis': 'Stem-p3s', 'segmentation': 'ʃøfør-y', 'ur': 'ʃøfør-H', 'predicted_sr': 'ʃøfør-Y'}
{'sf': 'resimler', 'freq': '2', 'analysis': 'Stem-pl', 'segmentation': 'resim-ler', 'ur': 'resim-lAr', 'predicted_sr': 'resim-lAr'}
{'sf': 'tejzeler', 'freq': '2', 'analysis': 'Stem-pl', 'segmentation': 'tejze-ler', 'ur': 'tejze-lAr', 'predicted_sr': 'tejze-lAr'}
{'sf': 'ytyleri', 'freq': '2', 'analysis': 'Stem-pl-p3s', 'segmentation': 'yty-ler-i', 'ur': 'yty-lAr-H', 'predicted_sr': 'yty-lAr-I'}
{'sf': 'hɑlin', 'freq': '2', 'analysis': 'Stem-gen', 'segmentation': 'hɑl-in', 'ur': 'hɑl-Hn', 'predicted_sr': 'hɑl-ɯn'}
{'sf': 'silme', 'freq': '2', 'analysis': 'Stem-vn:inf', 'segmentation': 'sil-me', 'ur': 'sil-mA', 'predicted_sr': 'sil-mA'}
{'sf': 'elme', 'freq': '2', 'analysis': 'Stem-p1s-dat', 'segmentation': 'el-m-e', 'ur': 'el-m-A', 'predicted_sr': 'el-m-A'}
{'sf': 'køjde', 'freq': '2', 'analysis': 'Stem-loc', 'segmentation': 'køj-de', 'ur': 'køj-dA', 'predicted_sr': 'køj-dA'}
{'sf': 'ineklerden', 'freq': '2', 'analysis': 'Stem-pl-abl', 'segmentation': 'inek-ler-den', 'ur': 'inek-lAr-dAn', 'predicted_sr': 'inek-lAr-dAn'}
{'sf': 'etme', 'freq': '2', 'analysis': 'Stem-vn:inf', 'segmentation': 'et-me', 'ur': 'et-mA', 'predicted_sr': 'et-mA'}
{'sf': 'jemekler', 'freq': '2', 'analysis': 'Stem-pl', 'segmentation': 'jemek-ler', 'ur': 'jemek-lAr', 'predicted_sr': 'jemek-lAr'}
{'sf': 'kutuu', 'freq': '2', 'analysis': 'Stem-p3s', 'segmentation': 'kutu-u', 'ur': 'kutu-H', 'predicted_sr': 'kutu-W'}
{'sf': 'ɑletleri', 'freq': '2', 'analysis': 'Stem-pl-p3s', 'segmentation': 'ɑlet-ler-i', 'ur': 'ɑlet-lAr-H', 'predicted_sr': 'ɑlet-lAr-I'}
{'sf': 'etme', 'freq': '2', 'analysis': 'Stem-vn:inf', 'segmentation': 'et-me', 'ur': 'et-mA', 'predicted_sr': 'et-mA'}
{'sf': 'kojunʤɑ', 'freq': '2', 'analysis': 'Stem-cv:ince', 'segmentation': 'koj-unʤɑ', 'ur': 'koj-HnʤA', 'predicted_sr': 'koj-Wnʤɑ'}
{'sf': 'ʧøpe', 'freq': '2', 'analysis': 'Stem-dat', 'segmentation': 'ʧøp-e', 'ur': 'ʧøp-A', 'predicted_sr': 'ʧøp-A'}
{'sf': 'resimde', 'freq': '2', 'analysis': 'Stem-loc', 'segmentation': 'resim-de', 'ur': 'resim-dA', 'predicted_sr': 'resim-dA'}
{'sf': 'kedilerden', 'freq': '2', 'analysis': 'Stem-pl-abl', 'segmentation': 'kedi-ler-den', 'ur': 'kedi-lAr-dAn', 'predicted_sr': 'kedi-lAr-dAn'}
{'sf': 'jyzmee', 'freq': '2', 'analysis': 'Stem-dat', 'segmentation': 'jyzme-e', 'ur': 'jyzme-A', 'predicted_sr': 'jyzme-A'}
{'sf': 'gitme', 'freq': '2', 'analysis': 'Stem-vn:inf', 'segmentation': 'git-me', 'ur': 'git-mA', 'predicted_sr': 'git-mA'}
{'sf': 'berbere', 'freq': '2', 'analysis': 'Stem-dat', 'segmentation': 'berber-e', 'ur': 'berber-A', 'predicted_sr': 'berber-A'}
{'sf': 'dɑiree', 'freq': '2', 'analysis': 'Stem-dat', 'segmentation': 'dɑire-e', 'ur': 'dɑire-A', 'predicted_sr': 'dɑire-A'}
{'sf': 'dikkɑtli', 'freq': '2', 'analysis': 'Stem-li', 'segmentation': 'dikkɑt-li', 'ur': 'dikkɑt-lH', 'predicted_sr': 'dikkɑt-lɯ'}
{'sf': 'jedikten', 'freq': '2', 'analysis': 'Stem-vn:past-abl', 'segmentation': 'je-dik-ten', 'ur': 'je-dHk-dAn', 'predicted_sr': 'je-dik-dAn'}
{'sf': 'birʃeje', 'freq': '2', 'analysis': 'Stem-dat', 'segmentation': 'birʃej-e', 'ur': 'birʃej-A', 'predicted_sr': 'birʃej-A'}
{'sf': 'silelim', 'freq': '2', 'analysis': 'Stem-cv:ye-li-p1s', 'segmentation': 'sil-e-li-m', 'ur': 'sil-A-lH-m', 'predicted_sr': 'sil-A-lI-m'}
{'sf': 'gyze', 'freq': '2', 'analysis': 'Stem-dat', 'segmentation': 'gyz-e', 'ur': 'gyz-A', 'predicted_sr': 'gyz-A'}
{'sf': 'olu', 'freq': '2', 'analysis': 'Stem-li', 'segmentation': 'o-lu', 'ur': 'o-lH', 'predicted_sr': 'o-lW'}
{'sf': 'pislikleri', 'freq': '1', 'analysis': 'Stem-lik-pl-p3s', 'segmentation': 'pis-lik-ler-i', 'ur': 'pis-lHk-lAr-H', 'predicted_sr': 'pis-lik-lAr-I'}
{'sf': 'bɑloun', 'freq': '1', 'analysis': 'Stem-gen', 'segmentation': 'bɑlo-un', 'ur': 'bɑlo-Hn', 'predicted_sr': 'bɑlo-Wn'}
{'sf': 'nerende', 'freq': '1', 'analysis': 'Stem-p2s-loc', 'segmentation': 'nere-n-de', 'ur': 'nere-n-dA', 'predicted_sr': 'nere-n-dA'}
{'sf': 'gøzlerin', 'freq': '1', 'analysis': 'Stem-pl-gen', 'segmentation': 'gøz-ler-in', 'ur': 'gøz-lAr-Hn', 'predicted_sr': 'gøz-lAr-In'}
{'sf': 'kolu', 'freq': '1', 'analysis': 'Stem-p3s', 'segmentation': 'kol-u', 'ur': 'kol-H', 'predicted_sr': 'kol-W'}
{'sf': 'ɑnneler', 'freq': '1', 'analysis': 'Stem-pl', 'segmentation': 'ɑnne-ler', 'ur': 'ɑnne-lAr', 'predicted_sr': 'ɑnne-lAr'}
{'sf': 'sytsyz', 'freq': '1', 'analysis': 'Stem-siz', 'segmentation': 'syt-syz', 'ur': 'syt-sHz', 'predicted_sr': 'syt-sYz'}
{'sf': 'kyrky', 'freq': '1', 'analysis': 'Stem-p3s', 'segmentation': 'kyrk-y', 'ur': 'kyrk-H', 'predicted_sr': 'kyrk-Y'}
{'sf': 'erelim', 'freq': '1', 'analysis': 'Stem-cv:ye-li-p1s', 'segmentation': 'er-e-li-m', 'ur': 'er-A-lH-m', 'predicted_sr': 'er-A-lI-m'}
{'sf': 'gørelim', 'freq': '1', 'analysis': 'Stem-cv:ye-li-p1s', 'segmentation': 'gør-e-li-m', 'ur': 'gør-A-lH-m', 'predicted_sr': 'gør-A-lI-m'}
{'sf': 'otomobiller', 'freq': '1', 'analysis': 'Stem-pl', 'segmentation': 'otomobil-ler', 'ur': 'otomobil-lAr', 'predicted_sr': 'otomobil-lAr'}
{'sf': 'iʃɑretleri', 'freq': '1', 'analysis': 'Stem-pl-p3s', 'segmentation': 'iʃɑret-ler-i', 'ur': 'iʃɑret-lAr-H', 'predicted_sr': 'iʃɑret-lAr-I'}
{'sf': 'rɑdjou', 'freq': '1', 'analysis': 'Stem-acc', 'segmentation': 'rɑdjo-u', 'ur': 'rɑdjo-H', 'predicted_sr': 'rɑdjo-W'}
{'sf': 'dɑireden', 'freq': '1', 'analysis': 'Stem-abl', 'segmentation': 'dɑire-den', 'ur': 'dɑire-dAn', 'predicted_sr': 'dɑire-dAn'}
{'sf': 'mikrofonu', 'freq': '1', 'analysis': 'Stem-acc', 'segmentation': 'mikrofon-u', 'ur': 'mikrofon-H', 'predicted_sr': 'mikrofon-W'}
{'sf': 'bluzu', 'freq': '1', 'analysis': 'Stem-p3s', 'segmentation': 'bluz-u', 'ur': 'bluz-H', 'predicted_sr': 'bluz-W'}
{'sf': 'devee', 'freq': '1', 'analysis': 'Stem-dat', 'segmentation': 'deve-e', 'ur': 'deve-A', 'predicted_sr': 'deve-A'}
{'sf': 'tepelerden', 'freq': '1', 'analysis': 'Stem-pl-abl', 'segmentation': 'tepe-ler-den', 'ur': 'tepe-lAr-dAn', 'predicted_sr': 'tepe-lAr-dAn'}
{'sf': 'kutuu', 'freq': '1', 'analysis': 'Stem-acc', 'segmentation': 'kutu-u', 'ur': 'kutu-H', 'predicted_sr': 'kutu-W'}
{'sf': 'ɑbiler', 'freq': '1', 'analysis': 'Stem-pl', 'segmentation': 'ɑbi-ler', 'ur': 'ɑbi-lAr', 'predicted_sr': 'ɑbi-lAr'}
{'sf': 'filler', 'freq': '1', 'analysis': 'Stem-pl', 'segmentation': 'fil-ler', 'ur': 'fil-lAr', 'predicted_sr': 'fil-lAr'}
{'sf': 'fɑreler', 'freq': '1', 'analysis': 'Stem-pl', 'segmentation': 'fɑre-ler', 'ur': 'fɑre-lAr', 'predicted_sr': 'fɑre-lAr'}
{'sf': 'domuzu', 'freq': '1', 'analysis': 'Stem-p3s', 'segmentation': 'domuz-u', 'ur': 'domuz-H', 'predicted_sr': 'domuz-W'}
{'sf': 'renkler', 'freq': '1', 'analysis': 'Stem-pl', 'segmentation': 'renk-ler', 'ur': 'renk-lAr', 'predicted_sr': 'renk-lAr'}
{'sf': 'gyller', 'freq': '1', 'analysis': 'Stem-pl', 'segmentation': 'gyl-ler', 'ur': 'gyl-lAr', 'predicted_sr': 'gyl-lAr'}
{'sf': 'gyllermiz', 'freq': '1', 'analysis': 'Stem-pl-p1p', 'segmentation': 'gyl-ler-miz', 'ur': 'gyl-lAr-mHz', 'predicted_sr': 'gyl-lAr-mIz'}
{'sf': 'iʃleri', 'freq': '1', 'analysis': 'Stem-pl-p3s', 'segmentation': 'iʃ-ler-i', 'ur': 'iʃ-lAr-H', 'predicted_sr': 'iʃ-lAr-I'}
{'sf': 'hɑvluu', 'freq': '1', 'analysis': 'Stem-acc', 'segmentation': 'hɑvlu-u', 'ur': 'hɑvlu-H', 'predicted_sr': 'hɑvlu-W'}
{'sf': 'gøtyrelim', 'freq': '1', 'analysis': 'Stem-cv:ye-li-p1s', 'segmentation': 'gøtyr-e-li-m', 'ur': 'gøtyr-A-lH-m', 'predicted_sr': 'gøtyr-A-lI-m'}
{'sf': 'jolun', 'freq': '1', 'analysis': 'Stem-gen', 'segmentation': 'jol-un', 'ur': 'jol-Hn', 'predicted_sr': 'jol-Wn'}
{'sf': 'pɑstɑhɑnede', 'freq': '1', 'analysis': 'Stem-loc', 'segmentation': 'pɑstɑhɑne-de', 'ur': 'pɑstɑhɑne-dA', 'predicted_sr': 'pɑstɑhɑne-dA'}
{'sf': 'diʃʧide', 'freq': '1', 'analysis': 'Stem-loc', 'segmentation': 'diʃʧi-de', 'ur': 'diʃʧi-dA', 'predicted_sr': 'diʃʧi-dA'}
{'sf': 'evmize', 'freq': '1', 'analysis': 'Stem-p1p-dat', 'segmentation': 'ev-miz-e', 'ur': 'ev-mHz-A', 'predicted_sr': 'ev-miz-A'}
{'sf': 'telefonun', 'freq': '1', 'analysis': 'Stem-gen', 'segmentation': 'telefon-un', 'ur': 'telefon-Hn', 'predicted_sr': 'telefon-Wn'}
{'sf': 'konuʃ', 'freq': '1', 'analysis': 'Stem-vn:yis', 'segmentation': 'kon-uʃ', 'ur': 'kon-Hʃ', 'predicted_sr': 'kon-Wʃ'}
{'sf': 'køje', 'freq': '1', 'analysis': 'Stem-dat', 'segmentation': 'køj-e', 'ur': 'køj-A', 'predicted_sr': 'køj-A'}
{'sf': 'ørtyy', 'freq': '1', 'analysis': 'Stem-p3s', 'segmentation': 'ørty-y', 'ur': 'ørty-H', 'predicted_sr': 'ørty-Y'}
{'sf': 'køpryy', 'freq': '1', 'analysis': 'Stem-acc', 'segmentation': 'køpry-y', 'ur': 'køpry-H', 'predicted_sr': 'køpry-Y'}
{'sf': 'elmdekini', 'freq': '1', 'analysis': 'Stem-p1s-loc-ki-p2s-acc', 'segmentation': 'el-m-de-ki-n-i', 'ur': 'el-m-dA-ki-n-H', 'predicted_sr': 'el-m-dA-ki-n-i'}
{'sf': 'hepmize', 'freq': '1', 'analysis': 'Stem-p1p-dat', 'segmentation': 'hep-miz-e', 'ur': 'hep-mHz-A', 'predicted_sr': 'hep-miz-A'}
{'sf': 'ensene', 'freq': '1', 'analysis': 'Stem-p2s-dat', 'segmentation': 'ense-n-e', 'ur': 'ense-n-A', 'predicted_sr': 'ense-n-A'}
{'sf': 'gøzme', 'freq': '1', 'analysis': 'Stem-p1s-dat', 'segmentation': 'gøz-m-e', 'ur': 'gøz-m-A', 'predicted_sr': 'gøz-m-A'}
{'sf': 'tuzsuz', 'freq': '1', 'analysis': 'Stem-siz', 'segmentation': 'tuz-suz', 'ur': 'tuz-sHz', 'predicted_sr': 'tuz-sWz'}
{'sf': 'televizjonu', 'freq': '1', 'analysis': 'Stem-p3s', 'segmentation': 'televizjon-u', 'ur': 'televizjon-H', 'predicted_sr': 'televizjon-W'}
{'sf': 'gøzleri', 'freq': '1', 'analysis': 'Stem-pl-p3s', 'segmentation': 'gøz-ler-i', 'ur': 'gøz-lAr-H', 'predicted_sr': 'gøz-lAr-I'}
{'sf': 'pɑkette', 'freq': '1', 'analysis': 'Stem-loc', 'segmentation': 'pɑket-te', 'ur': 'pɑket-dA', 'predicted_sr': 'pɑket-dA'}
{'sf': 'ɑnneɑnnene', 'freq': '1', 'analysis': 'Stem-p2s-dat', 'segmentation': 'ɑnneɑnne-n-e', 'ur': 'ɑnneɑnne-n-A', 'predicted_sr': 'ɑnneɑnne-n-A'}
{'sf': 'kɑloriferler', 'freq': '1', 'analysis': 'Stem-pl', 'segmentation': 'kɑlorifer-ler', 'ur': 'kɑlorifer-lAr', 'predicted_sr': 'kɑlorifer-lAr'}
{'sf': 'evnizde', 'freq': '1', 'analysis': 'Stem-p2p-loc', 'segmentation': 'ev-niz-de', 'ur': 'ev-nHz-dA', 'predicted_sr': 'ev-niz-dA'}
{'sf': 'ɑletlerin', 'freq': '1', 'analysis': 'Stem-pl-gen', 'segmentation': 'ɑlet-ler-in', 'ur': 'ɑlet-lAr-Hn', 'predicted_sr': 'ɑlet-lAr-In'}
{'sf': 'ɑletlere', 'freq': '1', 'analysis': 'Stem-pl-dat', 'segmentation': 'ɑlet-ler-e', 'ur': 'ɑlet-lAr-A', 'predicted_sr': 'ɑlet-lAr-A'}
{'sf': 'kɑlemlerin', 'freq': '1', 'analysis': 'Stem-pl-gen', 'segmentation': 'kɑlem-ler-in', 'ur': 'kɑlem-lAr-Hn', 'predicted_sr': 'kɑlem-lAr-In'}
{'sf': 'girme', 'freq': '1', 'analysis': 'Stem-vn:inf', 'segmentation': 'gir-me', 'ur': 'gir-mA', 'predicted_sr': 'gir-mA'}
{'sf': 'gelen', 'freq': '1', 'analysis': 'Stem-part:pres', 'segmentation': 'gel-en', 'ur': 'gel-An', 'predicted_sr': 'gel-An'}
{'sf': 'nɑmluu', 'freq': '1', 'analysis': 'Stem-p3s', 'segmentation': 'nɑmlu-u', 'ur': 'nɑmlu-H', 'predicted_sr': 'nɑmlu-W'}
{'sf': 'geʧen', 'freq': '1', 'analysis': 'Stem-part:pres', 'segmentation': 'geʧ-en', 'ur': 'geʧ-An', 'predicted_sr': 'geʧ-An'}
{'sf': 'ʃeje', 'freq': '1', 'analysis': 'Stem-dat', 'segmentation': 'ʃej-e', 'ur': 'ʃej-A', 'predicted_sr': 'ʃej-A'}
{'sf': 'gynyn', 'freq': '1', 'analysis': 'Stem-gen', 'segmentation': 'gyn-yn', 'ur': 'gyn-Hn', 'predicted_sr': 'gyn-Yn'}
{'sf': 'ellermin', 'freq': '1', 'analysis': 'Stem-pl-p1s-gen', 'segmentation': 'el-ler-m-in', 'ur': 'el-lAr-m-Hn', 'predicted_sr': 'el-lAr-m-In'}
{'sf': 'syryp', 'freq': '1', 'analysis': 'Stem-cv:ip', 'segmentation': 'syr-yp', 'ur': 'syr-Hp', 'predicted_sr': 'syr-Yp'}
{'sf': 'gittikten', 'freq': '1', 'analysis': 'Stem-vn:past-abl', 'segmentation': 'git-tik-ten', 'ur': 'git-dHk-dAn', 'predicted_sr': 'git-dik-dAn'}
{'sf': 'nereleri', 'freq': '1', 'analysis': 'Stem-p3p', 'segmentation': 'nere-leri', 'ur': 'nere-lArH', 'predicted_sr': 'nere-lArI'}
{'sf': 'øɰleden', 'freq': '1', 'analysis': 'Stem-abl', 'segmentation': 'øɰle-den', 'ur': 'øɰle-dAn', 'predicted_sr': 'øɰle-dAn'}
{'sf': 'sizde', 'freq': '1', 'analysis': 'Stem-loc', 'segmentation': 'siz-de', 'ur': 'siz-dA', 'predicted_sr': 'siz-dA'}
{'sf': 'ʤɑddede', 'freq': '1', 'analysis': 'Stem-loc', 'segmentation': 'ʤɑdde-de', 'ur': 'ʤɑdde-dA', 'predicted_sr': 'ʤɑdde-dA'}
{'sf': 'gøtyrynʤe', 'freq': '1', 'analysis': 'Stem-cv:ince', 'segmentation': 'gøtyr-ynʤe', 'ur': 'gøtyr-HnʤA', 'predicted_sr': 'gøtyr-YnʤA'}
{'sf': 'otobyse', 'freq': '1', 'analysis': 'Stem-dat', 'segmentation': 'otobys-e', 'ur': 'otobys-A', 'predicted_sr': 'otobys-A'}
{'sf': 'giderler', 'freq': '1', 'analysis': 'Stem-pl', 'segmentation': 'gider-ler', 'ur': 'gider-lAr', 'predicted_sr': 'gider-lAr'}
{'sf': 'hɑli', 'freq': '1', 'analysis': 'Stem-p3s', 'segmentation': 'hɑl-i', 'ur': 'hɑl-H', 'predicted_sr': 'hɑl-ɯ'}
{'sf': 'kovbojun', 'freq': '1', 'analysis': 'Stem-gen', 'segmentation': 'kovboj-un', 'ur': 'kovboj-Hn', 'predicted_sr': 'kovboj-Wn'}
