Word	Frequency
koşuyorum	12
koştum	3
Zeyneple	2
bilmiycemki	1
bilmem	22
ona	53
ötekini	2
düşürdüm	3
onları	30
onlara	9
içiym	1
öyleyse	2
söyleyecem	1
oynarız	7
gelmiştik	2
oynamıştık	3
hatırladım	1
anlat	16
annemlen	2
şunları	5
kırdı	3
atarım	23
kelem	1
çıkartmanı	2
versene	34
döküycem	2
bilmemki	3
taraklan	2
süslenir	13
boyuyor	15
oynuycaz	1
yapmıycam	2
sürüyor	19
uuuh	1
kelamlan	3
neylen	2
boyasınlan	2
kalemlan	1
kalemlen	4
boyuyacak	2
boyanmaz	2
ayağa	3
kalkımda	1
alacak	25
buyam	2
benimki	6
kadardı	3
ablamınki	2
uyuyordu	2
uyumuyordu	2
tekerleri	2
atmıştım	2
çıkmıyor	7
sürüyorum	2
ojeni	2
gitmiyor	14
geliyor	87
uyanırken	3
ütülüyor	26
deminden	1
temizledi	3
omuylan	2
omoyu	2
oturacam	3
burasını	6
annecim	4
kapısını	5
buralar	1
girecekler	2
girsinler	2
kendileriyle	1
oynar	32
kendimizle	1
Sinanla	2
gölelerlen	2
legolarlan	1
gösterdim	1
gidecem	15
uyanınca	3
yarımda	1
uyanıyoruz	1
uyumayacağız	1
yatmayacağız	1
Yaşarla	1
durmuşla	1
köpeklerle	1
uğraşırız	1
Zorba	1
Zulu	2
Zombie	3
yapmaz	6
içer	34
insanız	2
yaşında	4
koydum	19
ordaki	2
düymeye	1
basıyorsun	2
çalıyor	8
sesim	5
çıkıyor	27
mikrofondan	1
tellere	1
bilirim	6
yazmasını	1
ögrendim	2
N	1
yapıyorum	47
E	61
K	1
A	2
defterime	1
kalemimi	3
alsam	1
siliyimmi	1
yapamıyorum	1
boyamız	1
kurudu	1
kırıldı	13
anneannem	28
mapağı	1
kırılmıştı	1
Avrupadan	2
Paristen	1
gitmedikki	1
Ankaraya	3
Uludağa	4
gittik	51
Polonezköye	1
motorla	2
arabayla	8
vapuruna	1
bindik	18
kaydı	3
kırılmadı	2
çıkardı	3
şeydeydik	1
içerdeydik	1
sinemayı	1
seyrediyorduk	1
Uludağda	2
onlarla	9
kayboldu	7
vapurlarını	1
götüreceğiz	3
kayıyoruz	3
uçağım	2
Kerimin	2
karların	1
ortasında	2
onlardan	4
düşüyoruz	1
karları	1
birbirimize	1
yapmadık	1
yaptık	6
le	1
gagasını	1
yaptı	24
burnunu	2
havuçla	1
yapmadı	2
kayakları	1
kaldı	13
parasını	1
vermedi	4
kızdı	5
kayakçı	1
taaa	1
yukardan	8
kaydım	5
sus	2
dedik	2
bırakıyor	3
bırakıyoruz	1
Aliyle	2
Mete	3
iniyorlar	1
böylr	1
parkede	2
çorapla	1
takıyor	7
tutmuyor	1
çıkıyoruz	3
batonlarla	1
itiyoruz	2
gördüm	49
nın	1
bastonu	1
kullanmıyor	3
Yaşar	2
Yilmaz	1
Hasan	4
Durmuş	5
Ali	9
odasında	4
balkonda	1
bizle	4
koyuyoruz	5
onlan	6
arasına	3
giriyoruz	3
kalksak	1
konuşmasını	1
biliyor	4
Afiye	2
açtılar	1
yemeğini	1
yatağına	4
yatar	13
yatıyor	26
uyuyoruz	5
söylüyoruz	2
görüyorsun	1
olduğunu	1
çıkarsana	3
saçlarını	2
görmüyormuydun	1
otururken	1
görmedimki	2
cık	32
bakmadım	1
giyiyor	6
yıkıyor	14
boyamıyor	1
ütülemez	1
pislenirse	1
yıkanırsa	1
olursa	3
pantolonumuzu	2
giyiyoruz	1
yıkıyorlar	3
kırletiyoruz	1
ondan	116
temizlemez	2
pislenince	1
yaptırdılar	3
içeriyi	1
şunların	1
yerse	2
kadarını	1
ayağın	1
gözlüğü	2
gözlüğünü	1
çıkartsana	4
Kilyosa	2
apartmana	1
bisikletimiz	2
balkondan	2
bisikletleri	1
eskidi	1
Suatların	1
sürüyorlar	1
sürdüm	1
Suatın	2
bisikletine	1
girdik	2
kenarında	1
olduğu	8
düşüyor	14
kolluğumlan	1
atliyacağım	1
kolluğumla	1
atlıyacağım	2
uzağa	3
kollukla	1
kolluğu	1
çıkaracağım	1
kolluğumu	1
uzağından	2
burayıgeçip	1
merdivenin	2
atlamıyacamki	1
gelecem	5
kollukları	1
çikaracam	1
uzağına	2
gidip	3
merdivene	1
merdivenden	2
çıkacam	1
alırım	10
kolluğunu	1
tutsun	3
elimle	2
yüzerim	1
oynamıyalım	1
sıkıldim	1
sıkıldım	2
oynamaktan	1
gittin	1
bizimkiler	1
Zorbayla	1
ısırmazlar	1
ısırmıyorki	2
yüzecem	1
söylemem	4
binince	2
tırmalar	24
kanadıyla	1
kanatlarla	1
onların	12
durur	6
uçurur	1
kurdu	10
yapmasakta	1
ısırır	47
yaparsak	1
yapmazsak	1
tutuyor	6
söyleyim	3
kuyruğu	24
yüzmezler	2
balığın	6
şarkısını	1
kivrıla	1
kıvrıla	1
oltasını	1
tahtaları	7
oynadım	22
Nihalle	1
Kadir	5
edeceğiz	1
kovboyculuk	5
oynıyacağız	2
tüfekle	2
sope	1
tüfeğim	3
öbürüki	1
derilikız	3
Nihal	1
düşmanım	1
öldüreceğiz	2
öldürürüz	1
yapacağız	4
götürmiyeceğiz	1
kaçıracağız	1
gideceğiz	1
yapıcağız	1
iste	1
öldürmiyeceğim	1
derilikızı	1
öldürecek	2
tüfeklerle	1
alacağım	4
ölecek	1
oyniyacağız	1
ederim	7
düşmancılık	1
oynarım	39
ederiz	2
tüfeklerimizi	1
bırakırız	1
gidiyoruz	26
atlan	2
gördük	6
kaçırdık	1
dışardan	2
kovalıyorduk	1
Kadirlen	2
füt	1
kaçıyor	9
ışte	1
oradakine	1
düşüyorduk	1
Kadirle	2
tüfeği	2
Kadirin	1
Cemalin	1
evinde	9
Memoya	1
Padişaha	1
kızıyordu	1
kaçırıyorlardı	1
bebeği	17
Ben	2
ablası	4
değilim	6
arkadaşımdan	1
0zorla	1
taktı	2
yapamadık	1
uyuyor	31
gittiler	22
eder	2
koysana	4
çalışıyor	14
seyrediyoruz	7
temizliyor	25
bezle	8
uyuyorum	13
gezer	10
dışarda	10
kedimiz	3
bahçedeler	1
Kontumuz	1
olurdu	1
Amerika	1
Amerikam	1
uçtular	1
ederler	4
Amerikada	1
istedi	2
uçar	22
çıkarırlar	1
düzelteyim	2
düşürürler	1
yüzüyordum	4
giyiyordum	1
gidiyordum	2
koşuyordum	1
kumda	3
atladım	3
trablenden	2
oradaydım	1
göremiyorlardı	1
babamla	16
gezeceğim	1
düşeceğim	1
boyuyorum	2
atımı	1
yatıyordum	4
atlıyordum	1
merdiveni	1
oynıyorduk	1
denizcilik	1
oluyorduk	2
alıyorduk	1
alıyordu	2
indiriyordu	1
atlıyorduk	1
görmedim	11
balığa	1
gitmişti	4
tutuyorlardı	1
kayığa	1
bindiler	2
amcam	12
Cem	2
Avni	1
yoktu	7
oturanlar	1
dedim	16
ordan	31
wood	1
kargamız	1
herzaman	8
yakalıyoruz	1
tilkileri	1
alıyordum	1
gebertiyordum	1
ağlıyordu	2
yakalıyorduk	1
kaçıyorlardı	1
kuyruğundan	3
çimdik	1
attık	1
takla	1
şambır	1
tilk	1
0tilkisini	1
öldürdü	2
birisini	1
arıyordu	1
rıp	2
eşekler	3
katırlar	1
geldiler	2
açmadık	1
ettiler	1
0onlan	1
yakaladılar	1
been	2
diziyorum	2
güzelcene	1
düşmesin	5
ezilecek	1
ezeceğim	1
ebecilik	3
okadar	11
oynucaklarımla	1
arabacılık	1
ötüyor	1
Kağan	2
Hayri	2
Erdal	2
Ercan	2
Kenan	1
dogüm	1
günümde	3
oynucaklarla	1
oynadık	12
pastalar	1
oyuncaklarla	3
geliyorum	2
Keremle	1
Kerem	1
Nil	1
sıkılıyordur	1
annemle	14
geliyoruz	1
zürafa	15
bahçesinde	4
Murat	8
Opel	1
Opeller	1
Perdo	1
Reno	1
sincaplar	1
goriller	2
büyüğüne	1
derler	17
yapa	1
zürafayı	1
yapamam	13
sincapı	1
yazarım	8
resmini	5
resmiyle	1
yazdım	7
yazıyorum	7
Tunga	1
Baysal	1
gitmiyorum	17
başlıyacağım	1
oynuyorduk	3
kaybolmuş	1
Aslı	2
yuvaya	1
inşaate	1
yazıhaneye	1
gidıyor	1
heryere	1
Beşiktaşa	1
Kuşadasına	1
Burgaza	1
ediyorlar	7
fayton	1
dikiyor	5
maçında	1
uyuyorlar	5
başıları	1
oyuncaklarımla	4
oynu	1
arabama	1
bindim	5
pijamalarımı	1
soyundum	1
giyindim	2
basladım	1
kolanya	2
ütüyle	11
kızıyor	6
Han	4
teyzem	9
yoruluyor	2
parkeleri	1
cilayla	1
kirlidir	1
kirlenir	1
dikti	2
çarşıdan	6
kumaşını	1
hikaye	3
bileyimmi	1
gitmiş	40
geliyormuş	1
arkasından	2
saldırmış	1
okadarcık	1
yeter	3
gidiyormuş	10
zıplıya	2
gelmiş	45
atayım	3
demiş	53
söyliyeyim	4
derken	1
düşmüş	10
kapmış	1
kahkahayla	1
gülmüş	1
birisi	16
pikap	2
çalıyormuş	2
atmış	10
kalkmış	4
uyumuş	2
bakmış	2
yutacakmış	2
başlamış	1
yakalayamamış	1
bitmiş	10
uzununu	1
kardeşine	1
rastlamış	5
gidiyorsun	3
Almanyaya	1
gideyim	3
uçakla	3
duruyormuş	6
havaalanında	1
binmişler	3
gitmişler	14
Almanyada	1
vurmuş	11
sincabı	2
içinden	8
cıkarmış	1
böceğiymiş	2
uçmuş	6
arıyı	1
sokmuş	2
üc	1
böceği	2
içmiş	2
yüzüyor	5
maymunmuş	1
bakmiş	1
hoop	1
yutmuş	1
yutamaz	3
büyüğü	1
şısman	1
tuzağa	1
oop	3
horozlar	10
yüzüyormuş	1
tutmuş	2
severim	16
pisliklerin	1
girer	12
çopleri	1
devirir	1
vardır	3
yutabilir	2
köpekleri	7
köpeğini	3
yutan	1
köpeği	18
kuvvetlisi	1
Can	3
yutar	8
büyüktür	1
bukadardır	3
ısırmaz	13
yavrularını	2
bırakırlar	1
birilerini	1
ısırmasın	2
yokuştan	2
teleskiler	1
çıktım	2
iple	1
kaymıyor	2
hocayla	1
eniştemle	1
karınları	2
acıkmıştır	1
yemezler	5
yürürler	2
uçarlar	17
zebralar	1
yürür	18
koşamaz	2
acır	1
yeşildir	1
koşuyor	8
kafeste	1
kafesten	1
geçti	12
geçireyimmi	2
geçirecem	1
dakka	7
çünku	1
kuvvetlidir	1
yanında	9
durmazmı	2
duruyor	27
tablasının	1
dururmu	2
durdurdum	2
kanatlarıyla	3
direğin	3
arasından	6
atlayacak	3
üstünden	7
atlıyamazı	1
hepsini	10
dizeyim	2
durdur	2
durduruyum	2
durduruyummu	1
durmadı	2
tutsunlar	1
burasıymış	1
sokmıyalım	1
bukadar	16
neyi	6
fırlatırım	1
atabilirim	1
Bebek	1
parkında	1
dizmedim	1
dizilsin	1
durdu	10
duştü	2
gine	9
neyle	5
durdursak	1
açıyor	2
horozu	2
ürü	3
üü	3
atladı	6
götürüyor	9
getirdi	20
yuttu	3
yemleri	3
evine	30
getirecek	2
sapıcak	1
saldırıyor	4
döküyor	10
inmedi	1
korktu	3
zebradan	2
camını	1
kırar	3
trak	1
vurdu	3
bam	3
camına	1
damın	1
Cağaloğluna	1
Cağaloğlunda	1
geçicek	2
altından	8
atlıyamaz	4
getireyim	2
koskocaman	2
geçebilirmi	1
geçemez	2
yavaşlıyor	1
arıyor	3
öter	6
bağırır	4
kaldırımdan	1
çıkamadı	3
devirdi	2
çunkü	2
atlıyabilir	2
zebrayı	1
ezecekti	1
sahibi	5
zebraya	3
zebranın	4
Bobiyi	1
neydi	2
kurdun	2
kadardır	1
havlıyor	3
tavukmu	1
tavuğun	1
koptu	4
kopmuş	2
lokmacık	1
bıraktı	1
yarıyolda	1
rastliyacak	1
yutacak	2
ikisini	3
yutamadı	1
birdiler	1
ağzından	2
kurtuldular	1
burasına	10
oldular	1
cik	14
yapar	53
ai	5
uçuyor	8
geçiyormuş	1
şurdan	8
uçtu	1
amuda	2
kalkabilir	2
gagaladı	1
mummy	8
hoplar	1
cevizi	1
açsana	9
örüyor	2
sallanıyor	3
anneanneyi	1
yam	2
sallıyor	1
blue	3
emmioğlu	2
çiftliği	3
hö	2
Banu	1
İrfan	2
yiyecem	3
günüm	2
oluyor	36
Hürrem	1
Totoş	1
verdi	17
geldiniz	1
öldürüyor	1
atlıyor	3
yakalıyorlar	1
pastanede	1
kokoş	1
ba	10
dövücem	1
dolduracam	1
doldur	1
ısırmıyor	4
söyliyecem	2
söylicem	1
kırılmış	5
gidicem	5
duracak	8
gidi	1
oynamıycam	1
ciyan	1
cıyan	1
elbisemi	1
olmuş	24
Tandoğan	5
mektebe	4
Tandoğanın	1
yatırdım	4
sever	4
yediricem	1
vurucam	1
taramaz	1
taradı	2
içmiyor	1
dont	4
götürdüm	3
pisiyi	2
bardakla	8
burnu	7
ipliği	1
pişirecek	1
evladım	1
yiyeceğim	2
seviyorum	51
kuzuyu	3
lamayı	1
gezerler	4
herhesi	1
görüyorum	17
bağırırsam	1
kovuyor	1
ablamı	1
inadına	2
yapıcak	3
biryerlere	2
karşida	1
birazcıkta	1
biim	1
gelmedik	1
başkalarının	1
arabasıyla	1
geldik	4
açılmışmı	1
buralarını	2
açarlar	5
diledim	2
hikayede	1
kardeşini	2
denbizlerde	1
yüzerler	10
içerim	12
Ender	4
kolunu	3
yıkandıktan	1
biliyormusun	15
işine	3
yıkanıyor	2
soyunuyor	1
köşeyi	1
döndü	3
sesle	3
doldu	1
tadı	1
yaklaştı	2
büyüyünce	7
oynuyorum	39
oyuncaklarımlan	1
bozuyorum	1
topluyorum	2
ablamlan	3
oyuncaklarlan	2
den	1
elbisem	1
Nonoşlar	2
Tulay	1
teyzemler	1
Ataman	1
konuşuyorlar	6
oynuyorlar	27
yapsana	5
konuşsun	1
seyrediyorum	4
kıvırcık	5
filim	5
gösteriyorlar	2
bitiyor	2
alıyor	14
peynirin	1
açıyorlar	2
yatıyoruz	8
yokmuş	22
kalbur	6
tintin	2
kuzuyla	1
demişki	1
açmayın	1
yavrularım	4
açın	2
açmamışlar	1
açmamış	2
açmış	7
açmıslar	1
baktılar	1
anneciğim	3
kazmış	2
yatmış	5
örtmüş	1
yemeği	10
pişirmiş	2
uyuyormu	1
kediye	9
tı	2
züraf	1
kemiciklerim	1
dermisin	1
yermisin	1
boyumdan	1
ma	1
lazımlığına	1
kayıyor	2
takıyorum	3
bööle	1
alıcam	5
Nuran	3
Nurhan	2
teyzeminde	1
anladım	2
geçsin	1
yandırıyor	1
küt	3
topluiğneyle	1
alarım	2
vererim	1
pişmiş	1
seviyorlar	2
pişiririm	5
ucundan	3
tutarım	5
sahanda	1
tereyağ	1
koyarım	6
sucuğu	1
milangazı	1
yakarım	1
durar	5
pişer	2
tuttummu	1
gitsin	6
gelmedi	7
Faruk	3
hıhı	1
dövmüyor	2
dövüyor	12
Mukanı	1
banyoyu	1
karıştırıyoruz	1
suyunu	1
döküyo	1
ayağının	1
koluna	1
şuralarımı	1
vuruyor	14
şuralarına	1
buralarına	1
elinle	2
değneği	2
getiriyor	13
Nihanı	1
alayımmı	5
alayım	3
hoplayacam	1
şoyle	2
hoplıycam	1
hımm	2
Akdenize	1
götürüyümmü	1
orıya	2
kazaklarımızı	1
giy	1
soyunucaz	1
çiicez	1
aşşağıya	2
buluyum	2
bineceğim	1
Kızılaya	1
götürürüm	2
bekler	2
oturur	8
şa	1
içirmiyelim	1
içirelim	1
şunlar	7
kuruyadursun	1
basarmi	1
çarpmasın	1
düşmüyorum	3
koşa	4
sok	4
yetişmesin	1
babamdan	1
hiçkimseyle	2
ağzına	7
kıvrılıyor	1
sokalım	1
kafasını	3
dursunmu	1
çantalarla	1
kapkara	1
pantalon	2
pantalonu	4
değilmi	28
yı	1
yıkamış	3
pantalonum	1
yıkadı	5
hıı	7
onunki	2
çıkmamış	1
kirletmiş	1
abisi	2
bilmiyorumki	18
abisinin	1
yakalar	3
evlerine	10
götürür	3
bakıyım	6
der	16
havhavlar	1
tutarsan	1
saçına	1
değersen	2
kuyruğuna	1
ısırir	1
dedi	15
kuyruğuma	1
dokunuyorsunuz	1
Nihan	2
yatıyorum	14
kanepede	1
yatmıyor	3
kalkıyoruz	5
Hatice	3
halam	13
me	2
yürümüyor	3
binebilir	2
kaşığa	1
yokki	2
Boğazlıyanda	2
giderim	17
trenle	1
ooo	2
babaannemin	1
ağrıyormuş	2
dökmüşler	1
hemencecik	3
ölmüş	8
konuşamıyor	2
üük	1
diyor	31
hırlıyor	2
khır	2
yatıyordu	1
döktüler	1
öldü	4
ölerken	1
görmedi	1
evdeydi	1
söyledi	5
tutmazsa	1
sokar	1
kısaltalımda	1
ölmesin	1
acınıyor	1
saçlardanda	1
bıktım	5
kestireceğiz	1
berberde	1
şuna	8
haline	2
bakıyorlar	2
şeyle	9
bastın	1
başladı	2
çalıştırdınki	1
Zelihayla	1
Zeliha	2
suratıma	1
kazanmadan	1
evimden	1
yapmıyorum	7
yapmıyorumki	1
babasını	2
evini	1
kapatalım	3
kapattım	3
Nihanın	1
emiyor	1
paspası	1
karaladınki	1
döverse	1
döversin	1
koymada	1
korkar	1
bebeklerim	1
neyim	1
vatr	1
hımmmm	1
tavuğum	2
hiçbirşeyim	1
getirmemiştin	1
bizimkiyle	1
oynuyordun	1
çocu	1
itiyor	10
biliyormusunuz	2
çocuğa	3
çarptı	16
kuzuya	2
köpeğe	5
itti	8
göstermiyorsun	1
tabağa	4
konuşuyorlarmı	1
konuşmuyordum	1
konuşuyordum	1
odamda	2
ağlıyordum	1
düşerler	2
alıyorlar	8
söylüyorlar	2
annelerini	2
üzerler	2
ablamla	4
Samsunda	1
babaannemlerde	1
kalacağım	1
annemmi	1
dolaşıyor	1
bırakıpta	1
götürecek	6
Samsuna	1
yatmıyorlar	1
kırılır	4
dinleniyorlar	1
gidiyorlar	21
Ahmet	1
dayım	8
halamlar	2
gelmiyor	27
Atacan	2
Atasel	2
delilik	1
yapmasana	1
diyorum	28
dinlemiyor	1
amcamlar	1
geziyor	8
okuyorlar	1
işini	2
giyiniyor	3
alıyorum	20
elbezi	1
veriyor	9
oraları	4
siliyorum	3
oturunca	1
gider	31
kalktım	3
içtim	5
yıkadım	2
ettim	2
çekiyor	7
oturmayacam	1
söylemezler	1
söylemez	1
kirılmadı	1
düşürürse	1
bardağın	4
kalksana	2
yaksana	2
atam	3
çaresine	2
baksana	9
kavaklar	1
dökülüyor	3
doymadım	1
doysun	2
bakar	1
atamın	1
başucunda	1
Algül	1
öğretti	2
ablamlar	1
kaşıklar	1
yiyorlar	11
yatırıyorlar	1
gelincede	1
gitmiyecem	1
yaparsın	4
ağlamazki	1
attılar	3
atmazki	1
söylüyor	5
dedeler	1
çıkartalımmı	1
çıkartmıyalım	1
çikartınca	1
olmuyor	3
atıyorsun	1
yapıştımı	3
yapıştı	1
öbürki	1
açınca	2
bitincemi	1
açılmaz	3
olacam	3
açıcam	1
oynuyordumya	1
teybi	1
kedidir	1
dövüşür	1
unuttum	18
tırmalamaz	4
kaşınıyor	1
iyice	1
öğretiyorum	1
çorabı	1
kanatmış	1
kıskanıyormuş	1
ayağım	4
vurmuşlar	1
tırmalamış	1
atınca	2
tavşana	2
bakın	7
ısırırmı	2
geliyormu	1
onbu	1
kovarım	2
rüyamda	1
sakızın	2
şişmiyormuş	2
gitmedim	4
senle	2
kaybettim	8
saklayımda	1
bulurum	3
bulacağım	1
vereceğim	3
Saadetindi	1
kuyruğunu	6
düsmüş	1
yırtılmış	4
Aylini	1
ota	1
yiyer	4
içicem	2
yapacağım	7
yazıcağım	1
yazacağım	1
oynıyacağım	3
bırakmam	1
Finikeye	1
babacığım	2
süpürüyorum	5
çalsın	2
yapıcam	11
0alıcam	1
açsın	1
göster	3
kapağını	2
yastıkta	1
Işıklan	1
dediki	1
getirmiyeceğim	1
Elif	9
olucak	4
olmiyacak	1
olmıyacak	1
büyüdüğüm	1
olduğum	2
doğuracak	3
Türkan	3
yürütüyorum	2
girsinlermi	1
girdi	15
yürüyecekmiş	1
üşümesin	1
bunlardan	8
korktular	1
koşmam	2
uykuları	2
geldimiş	1
Ercüment	1
oynamıyor	7
yataklara	1
sığmazki	1
yapalımmı	5
çatısından	1
küçültelim	1
küçültüyorum	1
eee	4
sokamayızki	1
neresinden	1
uyusunlar	7
uyurlar	7
vızzz	1
nı	3
yapıyordu	2
korktum	3
pıtır	2
kaçtım	3
yürüyünce	1
açarım	4
vızz	1
bindirelim	2
çocuğunu	2
bebeğimi	1
alıyım	4
bindirecem	3
oynamıyorum	11
Ercümentle	1
abim	29
atmam	1
topum	6
off	3
öğretmedilerki	1
yürütecem	2
giydim	6
bena	1
bağsız	1
pabuç	3
tokasız	1
tuttum	2
bağlamadan	1
ismi	13
süslenirken	1
tarıyor	2
süsleni	1
süslenmiyorum	1
tarıyorum	1
götürecem	4
ütu	1
ediyorum	5
bacağım	4
ağrıyordu	3
bacağıma	2
iyileştim	1
anneannemin	3
ölmedi	1
hame	1
Seyfettin	1
dayıcığıma	1
geçecek	1
olunce	1
götürdüler	1
koydular	3
ağlamadı	1
yetişir	1
arabalardan	6
kullanmıyorum	1
kullanmasın	1
yapıyım	1
ağaçlı	2
sevmem	10
şımarık	2
doğurmayacak	1
yapmamki	1
gelmiycem	3
yapmıyorlar	3
kızını	1
söylememem	1
öpüyorlar	1
sarılıyorlar	1
terbiyesizlik	1
alıcak	2
televizyonumuz	1
birçokları	1
kıtır	2
kesiyor	3
