Word	Frequency
yemeğimiz	1
yiyeceksin	4
yandım	1
Ayça	2
Bora	3
saydınmı	2
bunları	38
olduğu	6
verirmisin	12
diyordun	3
ağbiyle	1
yapıyorlarmış	3
söyleyemezsin	1
gelse	2
görürsün	4
tanımıyorsun	4
açıyoruz	1
kilitliyoruz	1
neydi	10
hatırla	1
anlamadım	10
varmı	212
ateşide	1
oturdu	2
parmaklarını	2
bakıyım	14
takıyordun	2
öbürünüde	2
durur	3
denmez	2
bunuda	3
Özgenin	9
kaşığı	5
halledelim	1
bebeğim	20
akıllıy	1
olsun	36
anladın	1
tabiiki	2
olduğunu	6
lazımki	1
cebine	1
koydum	5
beklermisin	2
alacağım	2
beklesen	1
olur	64
yapıyordun	5
bardaklar	2
vereyimmi	11
veremem	2
silecem	2
yumoş	3
sanna	1
istiyorsun	52
çizdim	2
çizeyimmi	1
çizelimmi	1
çiziyorum	1
çıkarayım	3
kollarını	1
aşağıyıda	1
rahatla	1
geliyorum	3
istermisin	18
yanıyorsun	1
dişine	3
bakacağım	1
bakmıyorum	1
çizmemki	1
çiziyoruz	1
Doğaya	3
gidemeyiz	4
getireceğim	3
kaşıkmı	1
çık	21
gidelim	6
baktınmı	2
silmiyorum	1
dolaba	1
kaldırayım	3
bakalımmı	4
tatlıymış	1
Doğayamı	1
Doğa	2
koş	13
öpermisin	3
yorulurum	1
yanağımdan	2
söyle	164
söylermisin	8
buralardan	1
gıdıklanıyorsun	1
memişler	2
buldum	10
dilerim	1
düştün	3
düşeceksin	5
eeyaparmısın	1
eeyapacak	3
yapayım	6
birtanem	2
yattım	1
bırak	9
acıyor	16
bırakırmısın	2
güzelsin	1
konmuştu	1
ağzına	16
kulağım	1
kulağın	3
ağrıyo	1
hophop	1
söylemiyorsun	3
terliği	1
yoruldum	7
burdayım	3
tatlısın	6
yoruldun	1
getiriyor	14
ol	9
olmadın	1
içiyorum	1
yerine	12
kaşığın	1
veriyoruz	1
soğumadı	1
terlemişsin	3
koyacaksın	13
çayını	2
klibe	1
bakmıyor	1
sevdiği	3
söylüyor	3
bıkmış	1
etti	1
kurcalayacak	1
olmuş	34
yapıştı	3
birini	2
kaldık	1
çekildiğinin	1
farkında	1
veriyor	6
oyuncağını	3
öpüyordun	1
aşkim	1
bakayim	1
farkli	1
başladı	1
gideyim	3
geleyim	4
kalsın	1
kıs	1
Soner	1
istersen	31
oynuyordu	3
içecekmisin	1
içmeyecekmiş	1
yakala	3
zıplıyor	1
hopluyordu	1
davranıyor	1
duruyor	14
yapmıyor	1
dikkatini	1
çekti	1
ederim	6
götür	5
oturayım	1
oynuyoruz	10
sever	4
yapışır	1
inecen	1
istedi	3
istiyor	3
tamammı	6
şımar	1
çıkıyor	8
sumu	1
içeceksin	3
mu	79
sürerim	1
takılır	1
içmiyorsun	1
içebilirsin	1
taktınmı	1
lı	2
deviriyoruz	1
bebeğime	7
karıştırdın	2
sayacağız	1
sayıyordun	2
kırmızıyıda	1
çıkarıyoruz	1
koyacağız	2
düşmesin	4
gemiy	1
otursun	10
sürelim	1
değildi	2
kırılır	4
alıyorum	4
geldim	7
fırlattık	1
tuttuk	1
sakladım	4
buldunmu	1
sakla	12
kapatıyorum	2
gözümü	2
bakıyorum	2
gitmiş	9
düşerse	1
saklayayım	1
burdamıymış	1
görmeyeceğim	1
renkti	5
şarkını	1
söyleyeceksin	5
hikaye	18
anlatacağım	1
seviyordun	2
gelmedik	1
anlat	171
anlatırmısın	10
yokmuş	11
yapmış	30
ufolmamış	1
demiş	8
unutmuşsun	1
sürülmüş	1
anladım	2
olursun	2
yapayımmı	2
eeyapacağım	1
yapacakmısın	3
gelmedi	4
eeyapacakmısın	2
eeyapamazsın	1
yoksa	8
beşinde	1
kalkarsın	2
saklanırız	1
basıyordu	1
gidip	5
saklanıyordun	1
yapacak	4
eeyapıyor	1
anlayamadım	1
kimdim	1
değilmiydim	1
burnum	1
akmıyor	1
yanakmı	1
yumuşaksın	1
yapıştırmışsın	1
söyleyemedim	1
kafanada	1
geçir	1
oturamam	1
oturuyorum	1
şundan	1
konmuş	1
dedinmi	4
bebeğe	5
salla	4
gözlerini	4
bebeğin	21
Ayşemi	1
Ayşe	12
uyu	1
yapacaksın	25
buradamı	1
sallayacaksın	1
yapmışmı	1
kokla	1
yapsın	7
temizle	1
vuruyorsun	7
seninle	18
oynamıyorum	3
küstüm	4
konuşmam	1
demedin	1
oturacağım	1
bunlarla	2
dır	2
oynamıyorsun	8
çıkaralımmı	2
biliyorsun	19
geçmediğini	1
koymayacaksın	2
olmadı	6
açayımmı	2
açalımmı	1
oturuyoruz	5
kırlır	1
otururmusun	2
konuşmuyorum	6
sarılmayacağım	1
benimle	3
sarılmıyorum	1
Özgeyle	2
yastığa	1
sarılıyorum	1
yatayım	1
yatalımmı	1
yatmıyorum	3
çekildim	1
yatıyorumda	1
sallamıyorsun	1
sürüyorsun	5
ayağına	4
kabağa	1
sevdin	3
korktun	2
hatırladın	2
hatırlandın	1
kimdi	4
snoopy	1
takabilir	1
takayım	3
Kermit	1
sevmedin	1
küstü	1
kulağa	1
benzemiyor	2
geçmez	3
geçer	11
geçebilir	2
açacak	2
atacaksın	3
takacaksın	6
ondan	29
bitmiş	1
güzeldi	1
yuttun	1
ağzındakini	3
yememişsin	2
acıkmışsın	1
bulanır	1
çeviriyor	1
öpmüyorsun	1
öpecekmisin	3
küçüksün	1
Bengisu	1
Özgeyi	1
bulayım	3
düzeltiyor	1
özlemiş	2
tuttun	1
kendinden	2
hoşlanmadı	1
kırıştırdın	1
baktım	4
kaldırıyorum	2
tanımadığı	1
kıskanıyor	1
kaldıralım	4
sa	1
halledeceksin	1
kaldırdım	2
öpsün	3
ötmez	1
üfledin	1
içilmez	1
ayıcık	1
ayıcığın	1
gözünü	5
hıhı	5
parmağını	4
sokardın	1
deliği	1
silindirle	1
oyunuyordu	1
atıyordun	2
girmez	6
sığmaz	2
girmiyor	2
kopardın	2
atmıyorsun	3
bırakmıyorsun	3
takıldı	1
şansına	1
dedi	15
çıkaracağım	1
çıkmıyor	3
geçecek	3
geçmedi	2
dene	4
geçti	7
sıkışıyor	1
geçmezdi	1
sıkştı	1
sıkıştı	3
olmuyor	2
üfür	2
geçiyor	11
vur	2
sıkıştır	2
bastır	2
bıraktım	1
şunu	7
sinirleniyor	1
geçmiyor	1
geçmiyormuş	1
bundan	3
gücün	1
yetmez	1
ufolur	1
koşarsan	1
bacaklarına	1
çizmişsin	1
yerini	3
geldimi	16
yapmayacaktın	1
oturmuyorum	2
üzüyorsun	2
yiyorsun	8
acıktınmı	2
çantasında	1
doldurmuşsun	1
bununla	3
vermiyorsun	6
yaparsan	8
kızarım	4
dişlerine	1
çıkmışmı	1
çıkmamış	1
vuracaksın	2
oturacaksın	2
koyuyoruz	4
almıyorsun	1
biniyorsun	1
yenmez	1
atına	2
sallarım	1
binmiyorsun	1
tuvalate	1
gidecekmisin	2
götürüyorsun	3
götürüyorum	2
atını	1
ağzın	2
konuşamazsın	1
kesiliyor	1
Ahmetin	1
ördeğimi	1
biliyordun	2
söylüyordun	1
bardağın	2
tanımıyorum	5
arıyorum	3
meyvesuyu	1
yapıyormuş	13
dişini	1
oturuyor	38
gülüyor	2
uzanacak	1
annesine	1
demişki	1
yaptım	10
anneside	1
ettin	2
giymiş	3
yiyor	11
koymuş	4
kaşıkla	2
öptüm	1
uzanmış	1
oyuncaklarıyla	2
saçını	11
tarıyor	2
giydiriyor	1
bebekmiş	1
nerdesiniz	1
kulağını	1
elliyor	1
içiyor	14
sürmüş	2
yapmadığın	1
eeyapacakmış	1
öpeyimmi	3
öpeceğim	1
yatağı	5
sırtına	2
yaramaz	2
memesini	1
emiyor	2
nerdey	2
güzelmiş	16
kucağına	3
bunlarda	1
ağlıyor	9
acıkmış	1
kucağında	3
bebekde	1
bakıyorduk	2
çıkamayız	1
konusunda	1
dediğini	3
duymadım	4
hastasında	1
öksürüyorsunda	1
geçsin	1
acıtıyorsun	1
düşecen	1
gıdıklandın	1
gıdıklanıyormusun	1
yapacağım	6
biniyorum	5
sallıyorum	1
kendine	3
sallansın	1
dişinmi	1
güle	8
geleceksin	1
kolunu	4
ufoldu	1
atın	4
bilmiyoruz	1
çıkarırmısın	1
ağzından	5
patlatıyorsun	2
kaşlarını	2
yapabilirsin	1
oturdum	1
oturmadın	1
kızacak	2
bunların	8
çoğunu	1
tanıyacağın	1
neyi	42
tanıyabilirsin	1
koyaıım	2
hoşuna	3
gitmiyor	2
ayakkabımı	1
bozuyorsun	2
me	3
yapıyorsan	2
dolduralım	1
öyleyse	8
kutusuyla	1
oynuyorsun	54
yaptı	35
getiriyorum	2
doldur	3
sabrın	1
akıyor	3
çarpacak	1
yapıyorduk	3
kalmıştık	1
üzerinde	1
koyayım	10
kaldıralımmı	3
dedin	16
açılıyormuş	1
onudamı	1
burnunumu	1
sileceksin	2
kıracaksın	3
içinemi	1
gülegüle	1
baybay	1
gidiyorsun	34
kolunamı	1
oynuyorum	2
göremedin	1
aklına	1
çağır	2
Hi	1
bebeğimin	1
kolonyası	2
önüne	5
sermedik	1
Mmm	1
çalıyor	6
hi	2
ooo	2
kulağı	2
üstündekileri	1
yuttunmu	1
yutmadın	1
sokulmaz	1
döktük	2
silmeyeceğim	1
yemiyor	2
0bardağı	1
bardağa	1
sileyim	1
vermiyorum	1
iniyoruz	2
müziği	2
seviyor	6
0crisps	1
koydun	13
verir	3
atılır	1
ağza	1
0televizyonda	1
alabilirsin	5
inecek	1
ayağa	5
buldun	4
topuymuş	1
atıyorum	1
ayağınla	2
elinle	6
çıkmayacak	1
sarılalım	2
ağzıma	2
atmı	1
atmıy	1
dı	1
mıydı	5
yaptık	12
taraftakinimi	1
göstereceksin	1
kiler	1
0alma	1
uyuyor	21
O	1
Tarkan	3
Tarkanmı	1
söyledinmi	1
söylemedin	2
yedinmi	6
arkadaşlarınla	3
oynadınızmı	2
özledinmi	4
özledim	8
tutturamıyorum	1
bakaıym	2
çorbayı	1
severki	1
tırbnak	1
sürmüşler	1
tırnağına	1
yiyebilir	1
ağbimi	1
dökülür	2
sallıyordun	1
kıvırıyordun	1
koyulmayacağını	1
yakaladın	1
yemiyorsun	2
soruyorum	9
suruyorsun	1
değilmiymiydi	1
oynuyordun	3
yapmadım	1
yaptınmı	6
şortunu	1
sayıyoruz	1
sayıyorum	1
almıyourm	1
indirelimmi	1
yaparmısın	21
kızdım	1
topla	3
sıkıyorsun	1
siliyorum	2
atarım	1
kızıyorum	4
tokan	1
tırnağını	1
keselimmi	1
kızıyourm	1
hangisinde	6
kokuyor	4
azğına	1
tutmuyorsun	1
git	15
öptü	5
veriyorum	3
işine	1
diyorsun	13
biliyormusun	117
yolundu	1
kalkarmısın	2
yapmıyorsun	2
yağıyoru	1
deliklerine	1
getireceğiz	1
takarmısın	1
giydin	5
değilmiydi	2
orayamı	1
burayamı	3
bunalrın	1
renklerini	3
dök	1
bilmiyorum	13
düşecek	2
dını	1
koyun	3
sayalımmı	2
kapağı	3
kaybolmuş	2
koymuyoruz	1
yiyecekmisin	1
çikolatalı	2
bardağını	1
koyarmısın	2
dökülecek	1
öksürürsün	1
koyuyorum	2
yemiyormusun	1
bitirdin	2
oynayacağım	3
oynuycam	1
koyuyorsun	8
tutturamadın	1
hangisine	5
onları	39
döktünmü	1
koyduk	3
bunlaruda	1
uere	1
yapmıyoruz	1
kaybolur	1
kolanı	1
bı	1
kapatalım	3
kapattık	2
uyumuş	2
öpecekmiş	1
konuşsun	1
nasılsın	5
iyiyim	2
maymununu	1
sor	2
konuşacak	3
kuyruğundan	1
düşer	4
saklanıyormusun	1
saklan	1
koydunmı	1
yapıyourm	1
yatayımmı	1
yatıyorum	1
yazılacak	1
çilekti	1
kağıt	11
katlıyorum	1
davranıyorsun	1
kibarsın	1
ettinmi	2
acıktın	1
söyleyeceğim	3
çıkacaksın	1
inebilirsin	1
biracık	1
burdan	17
acıktım	2
yapmayacağım	1
uçacaksın	4
söylüyordu	1
Tarkanın	1
yedin	16
dedim	4
öpmüyorum	2
kalkıyorum	1
kalkayım	1
vurursan	2
gitmiyorum	2
rahatsızmı	1
ediyor	6
yüzümde	1
ağzuma	1
koştuğun	1
çekerim	1
çekiyorum	2
yanıyor	8
hala	3
barıştık	1
sus	2
babanne	1
kucağımdasın	1
demekmi	1
emredersin	1
Selim	13
Kerimden	1
Sinan	10
yaşında	9
değilki	1
yapıyormu	10
ona	33
mamasını	2
yiyebiliyormu	1
bakıyormusun	1
şunları	3
bulamayız	1
istediğini	2
oynarsın	67
çocuğum	28
neyle	158
Selimcim	4
boynuna	4
takayımda	1
çıksın	2
yapışmıyor	1
severmisin	11
alır	3
ismi	36
babaannenin	3
mektepten	2
taşısın	2
küçükleri	1
yapıyorlar	63
gidiyorlar	7
koşar	28
sokabilirsin	1
sok	3
oynuyormu	9
girdi	6
oynuyacaklarmı	1
yapacaklar	6
kiminle	39
oynarsınız	7
oyuncaklarınız	1
neyin	44
şurda	6
masuscuktan	1
girsinler	4
arabanız	2
biniyorsunuz	3
anneniz	1
kullanıyormu	3
biniyor	1
veririm	8
Kerime	3
veririz	1
oynarlar	34
yemeğe	3
götürüyormusunuz	1
yediriyor	1
nanniyi	1
çıkıyormusun	3
sokağa	10
çıkarıyor	5
oynamayamı	1
bilmem	28
uğraşıyorum	1
atıyormusun	5
fırlatıyormusun	1
atıyormusunuz	1
atarsın	32
küçuk	3
burasıydı	1
oturabilir	2
binebilir	3
binsinmi	1
oluyor	35
ineğe	1
binebilirmi	3
basacak	1
geliyor	59
bindiririm	1
resminbi	1
S	2
alalımmı	4
yanına	10
etsene	4
garajınız	2
şurdan	2
koparayım	1
veriyim	2
verdi	40
aldı	44
pencerelerini	1
annenler	4
götüreceksin	1
uyur	41
yemiyorlarmı	1
girecek	2
yapar	197
süsleniyormu	16
süsleniyor	26
kıvırmıyormu	1
gitmiyormu	2
ütülüyor	70
ütülüyorlar	4
temizliyor	67
süpürmüyorlarmı	1
süpürüyorlar	3
benziyormu	2
oldumu	16
onlarlan	5
oynayacağız	11
babandan	3
bahset	6
gidiyormu	7
okuyormu	21
okumuyormu	3
okuyor	28
içerken	1
hıı	2
içiyorsun	14
Kerim	6
yiyormusun	4
yemedinizmi	1
yapabilirler	2
çıkmışlar	1
dışarda	42
yesinler	2
Erenle	1
konuşsunlar	4
konuştur	4
konuşurlar	4
der	3
nasılsınız	3
desin	2
söylet	2
söyletirim	1
gittinmi	16
gittin	6
tersanede	2
yemeği	11
yaptımı	2
gittilermi	2
güneşlensin	1
gitmişler	2
mahsuscuktan	5
yattı	3
durabilirler	1
yapabilir	1
rahatlıkla	1
oyuruyorlar	1
oturtuyorsun	2
Kerimi	1
seyretsinler	2
sevmiyorlarmı	1
saklarız	1
biskuitler	1
yapılır	8
biskuit	1
istiyormusun	12
anlatsana	32
soruyor	3
Aykutlara	2
Aykutlar	6
oynuyormusunuz	7
oynadınız	7
kaldınız	3
kumbur	3
kazağında	1
tanıdığım	2
daydaylar	2
daydayları	2
daydayım	2
daydayların	2
giriyormusunuz	2
korkuyorsun	3
bilmiyormusun	7
mayonlan	2
simidin	8
takıyorsun	8
simidi	3
boynumdan	2
hımm	2
kazağımdaki	2
rengi	7
balığa	4
çıkıyormusunuz	4
Kumburgazda	2
tutuyormusunuz	2
tutmuyormusunuz	2
kaldırdı	3
kaldırdın	3
balıklara	2
kestgin	1
hapur	5
hupur	2
yedilermi	4
beyendilermi	2
defasında	2
tuttum	3
kestim	5
yedim	3
verdin	3
müydü	2
büyüktü	2
ohoo	2
aldın	6
babaannenden	2
kullanıyormusun	6
kullanılıyor	2
şişiriliyormu	2
neresinden	5
şişir	2
şisireceksin	1
sönüyor	2
açtı	3
bozdun	2
zamanında	2
mayon	2
sönüyormuş	2
baksana	4
nefesine	4
yapıştıracak	2
yapıştırırız	2
attınmı	4
sahimi	10
balığı	13
divanın	2
kokmadımı	1
kokmadı	1
koşarmısın	13
koşabilirmisin	5
koşarsın	13
koştun	5
Zeyneple	5
oynadığını	2
hangisini	17
onlara	5
göndermiyorum	2
evela	1
sordum	2
dedimki	1
Zeyneplen	2
oynuyacaksın	2
gelmiştin	2
zamandı	2
hatırlıyormusun	10
hatırlamıyormusun	2
gidermisin	6
kimle	43
gidersin	20
annenlen	2
atarmısın	14
topunu	9
kelemle	1
Yeşim	10
süslenir	24
boyuyormu	9
boyuyor	10
diyorum	5
huysuzluk	2
ediyorsun	5
oynuycaz	1
bıyk	4
yapmıycan	1
süslenmesini	2
söyleki	1
süsleneyim	2
sürüyormu	7
yapıyormusun	20
tırnaklarını	12
kalemle	13
boyamıyor	2
boyuyorsun	6
neylen	22
boyasınlan	2
doğurusunu	2
kalemlen	7
boyuyalım	2
ooooh	1
boyamak	4
kalkta	1
boyanmazki	1
boyanır	6
ojeyle	2
boyanmaz	3
tırnaklarına	2
kitaplarıda	1
babana	4
geliyormu	12
uyanırken	2
temizliyormu	4
temizledi	2
kullanıyor	9
omo	1
oluyormu	5
yakıyor	2
sobayı	2
taşıyormusun	2
taşımıyorsun	2
açmışlar	1
oralarını	1
korunun	1
bacaklarından	1
yapabiliriz	1
yetişecekler	1
gelmiş	18
misafirleri	2
oynar	16
Sinanla	1
kulelerle	1
lego	1
uyanıyorlar	1
yaparsınız	2
köpekleriniz	1
Zombie	1
yaparlar	60
içermi	21
içersin	8
köpeklerden	3
varmi	1
kaleci	1
olurum	2
vururum	1
uzağa	3
gider	13
benimki	1
Keriminki	1
birsürü	2
dese	1
teybe	6
konuyor	2
bunsuz	1
konusurum	1
koysan	1
konuşurum	1
koysam	1
göreyim	8
bunlan	9
silerken	1
kopmuş	1
A	2
öğretti	5
E	8
kırılınca	2
atar	2
almış	12
Paris	1
gitmedinizmi	2
gittiniz	21
Ankaraya	1
Polonezköye	1
Uludağa	1
yürüyerekmi	3
yaptınız	20
nerdeydiniz	1
yapıyorsunuz	33
Uludağda	2
gidince	9
kayıyormusunuz	1
kayabiliyormusunuz	1
kayakların	1
kayaklar	1
oyununu	1
helvası	1
yaptınızmı	1
yiyorsanız	1
yapın	1
yiyin	1
üstünde	18
koydu	2
burnuna	1
kaydımı	1
vermedi	3
kizdımı	1
kızdı	3
kızdırdı	1
kayıyor	3
düşüyormusunuz	1
kayarken	1
kayılır	1
takıyor	4
eline	5
sopalar	1
yokmu	20
birtek	1
kayakla	1
yarıyor	6
batonlar	1
baston	2
kullanmıyormu	1
oturur	3
acik	1
Sinanı	3
oynanıyor	6
kac	1
Sinanın	1
dağılmasın	1
uyurmu	9
uyumuyor	2
yatıyor	13
acık	12
tanımıyorumki	1
gözlerine	1
bakmadınmı	1
giyiyor	4
sürüyor	13
demiyorum	3
yanaklarına	1
ütülerler	1
temizlerler	2
yaptırdılar	1
halıyı	4
koydular	2
gözlüğü	2
anneanneye	1
eğlendinmi	1
görmedim	6
bakmadım	1
bisikletler	1
girdinmi	3
denbize	1
Kilyosta	1
giriyor	4
atlıyor	2
yapamıyacaksın	1
merdivenin	1
atlamıyor	1
atlayacaksın	1
alacakmısın	2
yüzmesini	2
öğretsene	1
Sinana	1
ağbimisin	1
bacaklarını	4
ellerinle	1
yüzersin	2
büyüdünmü	1
yaşındasın	5
sıkıldınmı	2
sıkıldın	1
bitsin	1
Ademe	1
gittim	2
Ademin	1
annesiyle	1
konuştum	1
ısırıyor	3
ısırır	41
ötekiler	1
köpekleri	11
başkasını	1
ısırabiliyor	1
bitsinde	1
anlatıyorum	1
karşısına	1
kovaladı	1
bilmiyorsunda	1
tırmalar	38
uçar	35
kanatlan	1
yaparlarmı	1
kanatlarını	3
uçuyorlar	1
tuttunmu	3
baliğın	2
balığın	18
suyun	4
dibine	1
Mehmet	1
soracağım	2
oynadın	18
Kadir	5
yapacaksınız	4
onunla	2
oynuyorsunuz	36
kovboyculuk	2
derilikız	1
götüreceksiniz	1
yapıcaksınız	1
yaralanacak	1
nelerle	2
korktum	2
durmam	1
oynanırken	1
oynıyacaksınız	2
Kadirle	3
ediyorsunuz	1
kaçıyordu	1
kızılderili	1
çıkıyorsun	8
götüreyimmi	1
tüfeği	4
asılımı	1
I	1
dont	2
see	1
gun	1
the	1
living	1
room	1
Kadirin	1
neredeymiş	3
Memöya	1
Cemoya	1
yapıyorlardı	4
filimde	2
yapıyordu	7
Türkan	5
Sorayın	1
Alıyi	1
götürmüyor	1
gittinizmi	6
aldınız	9
tahtayı	3
yapıcakmış	1
taktı	2
tahtayla	1
ablalar	1
uyuyorlarmı	2
kimmiş	3
seyrediyorsunuz	2
tırmalamıyor	1
nerdeler	1
Kont	1
yermi	9
çıkarırlar	1
cik	3
açmış	4
bilmezmisin	1
kırıldı	7
donkey	1
yüzüyordun	2
gidiyordun	2
kumda	1
yatıyordun	3
indiriyordu	1
atıyorlardı	1
bindiler	1
götürdüler	2
amcalarının	1
adını	2
yapıcan	6
şunlar	10
kargayla	6
yaptılar	10
açmadınız	1
kediyle	1
tahtalarla	1
ebecilik	1
kimlerle	7
gününde	3
başından	1
getirdi	31
yediniz	4
yaptıniz	1
oynadıniz	1
götürüyor	6
bahçesinde	2
yapmasını	2
bilirmisin	3
yapsana	3
ismini	3
yazabilirmisin	3
gidiyormusun	24
okulunu	1
seviyormuydun	2
orasını	3
sevdinmi	8
süslenirmi	13
pantolonunu	2
soyle	2
kurttan	1
kediniz	8
köpeğiniz	1
tırmalarmı	16
Uludağı	1
kaydın	1
içerler	14
yürürlermi	1
uçuyor	10
koşamazlar	1
gidiyormuş	7
yüzüyorlar	2
kuyruklarıylamı	1
üstünden	4
kızla	5
gitsinler	3
kurdun	3
ördeğin	2
boynu	1
neymiş	6
yapacakmış	2
bağırır	4
kopmuşmu	1
moo	1
uu	1
uuu	2
sing	1
song	1
Hürrem	1
düşüyormu	1
çoraplarını	1
giydirdi	1
görüyormusun	10
sicabı	1
dövsün	1
tavuğu	2
yıkıyor	8
Bir	1
cök	1
yetermi	1
olmuşmu	2
koyayımmı	1
gözüne	3
neresine	6
süpürür	6
yıkar	1
Tandoğan	3
mektebe	4
severmi	2
yaparmı	2
tararmı	1
koşuyor	5
önünde	6
suyu	8
içtin	6
ayakları	5
ayağı	2
getirecek	2
dogüum	1
bağırırlar	1
görüyorsun	14
bağırırmı	1
bağırıyorlar	1
ısırırlarmı	2
ısırırmı	12
ağızlarını	1
açıyorlar	1
dişleriyle	1
uçarlar	7
eviniz	4
geldiniz	6
açılmış	1
hikayesi	4
dinledinmi	3
şekerim	25
hikayede	1
kardeşini	4
kuyruğu	11
gine	2
gidecen	2
oynuyormusun	29
senle	8
konuşuyorlarmı	1
oynuyorlarmı	2
ordaki	2
seyrediyormusun	6
seyrediyorsun	2
filim	3
gösteriyorlar	1
kıvırcık	1
düşüyor	1
Enderi	1
Enderle	1
yatıyorsunuz	3
birbirinize	1
söylüyormusunuz	1
çarptı	27
itti	25
ismin	1
Zuhal	2
boyundan	1
yürüyormu	1
kızıyormusun	1
yaptıgı	1
kızmıyormusun	1
yakışmış	2
yakışacak	1
gözlüğüm	1
Zühal	2
gözünde	1
anladınmı	2
vericek	1
yerlermi	5
severlermi	2
aaaa	1
pişmiş	2
seviyorlar	2
pişirecek	1
etini	1
pişirebilirmisin	1
pişirecen	1
pişireceksin	2
yağsı	1
hmmm	1
sucuğu	1
durar	1
koyarsın	1
verirsin	2
gitsin	6
otursunlar	2
babasıda	1
Faruk	1
seviyormu	2
dövmüyormu	1
dövüyor	9
ikinizide	1
dövdü	3
dövüyormu	1
nereni	1
sopayla	2
değneği	1
değnek	1
ağlıyormusun	1
alayım	2
götürürmüsün	1
Kızılaya	1
pişiririz	1
bekler	1
olursa	1
içirmiyelim	1
içiyormu	1
içmiyormu	1
kalırsa	4
oğlanla	2
basar	2
bastırmaya	1
çalışayım	1
bakalim	1
çarpmasın	1
oynarmısın	10
